Категории;Показывать товар;Артикул;Характеристики;Описание товара;Основная категория;Короткое название;Бренд;Цена_Зачеркнутая;Цена_Розничная;Фотографии
Зоотовары/Товары для кошек/Аксессуары для кошек;1;610022;"(Характеристики товара)Тип товара:Игрушки для кошек;
(Характеристики товара)Бренд:УЮТ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4605427232179";Игрушка не содержит вредных компонентов. Порадуйте Вашего питомца новой веселой игрушкой, а он ответит вам любовью!</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Привлекает внимание вашего питомца</li>;Зоотовары/Товары для кошек/Аксессуары для кошек;УЮТ игрушки для кошек Катушка сизаль 6 см;УЮТ;;51;/storage/photo/original/d/uyut-igrushki-dlya-koshek-katushka-sizal-6-sm.jpg
Зоотовары/Товары для кошек/Аксессуары для кошек;1;610023;"(Характеристики товара)Тип товара:Игрушки для кошек;
(Характеристики товара)Бренд:УЮТ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4605427232704";Игрушка изготовлена из нетоксичного пластика, который не повреждает зубов животного.  Это веселая и полезная игрушка для вашего любимца. Диаметр: 4см</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Привлекает внимание вашего питомца</li><li>Не токсична</li>;Зоотовары/Товары для кошек/Аксессуары для кошек;УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см;УЮТ;;20;/storage/photo/original/d/uyut-igrushki-dlya-koshek-oreh-myach-pogremushka-prozrachnij-4-sm.jpg
Зоотовары/Товары для кошек/Аксессуары для кошек;1;610024;"(Характеристики товара)Тип товара:Игрушки для кошек;
(Характеристики товара)Бренд:УЮТ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4605427232766";Мячики очень нравятся кошкам, они с удовольствием катают их, таскают в лапках, бегают за ними и т. д. А если мячик дополнительно украшен перьями и погремушками, то у такой игрушки есть все шансы стать самой любимой для вашего питомца.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Привлекает внимание вашего питомца</li>;Зоотовары/Товары для кошек/Аксессуары для кошек;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см;УЮТ;;51;/storage/photo/original/d/uyut-igrushki-dlya-koshek-myach-pogremushka-s-cvetnoj-mishkoj-4-sm.jpg
Зоотовары/Товары для кошек/Аксессуары для кошек;1;610025;"(Характеристики товара)Тип товара:Игрушки для кошек;
(Характеристики товара)Бренд:УЮТ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4605427232773";Занимательная игрушка. Игрушка изготовлена из нетоксичного материала, который не повреждает зубов животного.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Привлекает внимание вашего питомца</li><li>Не токсична</li>;Зоотовары/Товары для кошек/Аксессуары для кошек;УЮТ игрушки для кошек Мяч-погремушка с шипами 5 см;УЮТ;;57;/storage/photo/original/d/uyut-igrushki-dlya-koshek-myach-pogremushka-s-shipami-5-sm.jpg
Зоотовары/Товары для кошек/Аксессуары для кошек;1;610026;"(Характеристики товара)Тип товара:Игрушки для кошек;
(Характеристики товара)Бренд:УЮТ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4605427242741";"Набор две мыши на дисплее, размер 8 см.
Это веселые и интересные игрушки для кошки.
Они помогают оставаться вашей кошке в хорошей физической форме. Приносят радость не только самим кошкам, но и их хозяевам. Игрушки подойдут и маленькому котенку, и взрослой кошке или коту.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Привлекает внимание вашего питомца</li>";Зоотовары/Товары для кошек/Аксессуары для кошек;УЮТ игрушки для кошек Две мыши 8 см;УЮТ;;74;/storage/photo/original/d/uyut-igrushki-dlya-koshek-dve-mishi-8-sm.jpg
Зоотовары/Товары для кошек/Ветеринарная аптека для кошек;1;610027;"(Характеристики товара)Тип товара:Ошейник для кошек;
(Характеристики товара)Бренд:BEAPHAR;
(Характеристики товара)Страна происхождения:Нидерланды;
(Характеристики товара)EAN:8711231106646;
(Характеристики товара)Количество:1 шт";"Ошейник репеллентный Beaphar ""Bio Band"" - безопасное и эффективное средство на основе натуральных эфирных масел маргозы и лаванды для отпугивания эктопаразитов кошек:
- блох;
- клещей;
- вшей;
- власоедов;
- летающих насекомых (комаров, мух, слепней).</p>ОСОБЕННОСТИ ПРОДУКТА:<li>не влияет на активность животного и уход за ним;</li><li>водостойкий, не теряет своих свойств при намокании;</li><li>безопасный для человека и животных;</li><li>без ограничений по физиологическому состоянию.</li>";Зоотовары/Товары для кошек/Ветеринарная аптека для кошек;BEAPHAR биоошейник Veto Shield Bio Band от эктопаразитов для кошек и котят 35 см 1 шт;BEAPHAR;;271;/storage/photo/original/d/beaphar-biooshejnik-veto-shield-bio-band-ot-ektoparazitov-dlya-koshek-i-kotyat-35-sm-1-sht.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610028;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Контроль веса;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505647;
(Характеристики товара)Вес:2 кг";"Высокое содержание мяса (26% дегидрированной индейки, 12% дегидрированной курицы, 10% куриного филе). Сбалансированный минеральный состав. Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Много протеина и мало жира в составе Брит Кеа Кэт Дейзи позволяет контролировать массу тела, L-карнитин стимулирует потерю веса. Комплекс из 3 волокон: подорожник, яблоко, свекла - улучшает процесс пищеварения
Состав: дегидрировання индейка (26%), рис, дегидрированная курица (12%), куриное филе (10%), куриный жир (консервирован токоферолами), сушеные яблоки, рисовые отруби, свекольный жом, пивные дрожжи, куриная печень (2%), лососевое масло, подорожник (200 мг/кг), маннан-олигосахариды (155 мг/кг), фрукто-олигосахариды (125 мг/кг), экстракт юкки Шидигера (Yucca schidigera) (85 мг/кг), облепиха крушиновидная (50 мг/кг).";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для кошек склонных к излишнему весу 2 кг;BRIT;;934;/storage/photo/original/d/brit-care-suhoj-korm-dlya-koshek-sklonnih-k-izlishnemu-vesu-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610029;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Забота о коже и шерсти;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505616;
(Характеристики товара)Вес:2 кг";Высокое содержание мяса (20% муки из лосося, 15% протеина лосося, 14% дегидрированной курицы). Сбалансированный минеральный состав. Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Бархатцы и омега-3 для блестящей шерсти. Цинк и биотин cпособствуют оздоровлению кожи и шерсти. Аргинин и таурин в составе Брит Кеа Кэт Санни Бьютифул Хэа обеспечивают функционирование жизненно важных систем.;Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для кошек уход за кожей и шерстью 2 кг;BRIT;;861;/storage/photo/original/d/brit-care-suhoj-korm-dlya-koshek-uhod-za-kozhej-i-sherstyu-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610030;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505708;
(Характеристики товара)Вес:2 кг";"Высокое содержание мяса (22% дегидрированной курицы, 15% куриного филе, 6% дегидрированной индейки). Сбалансированный минеральный состав. Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Содержит 3 вида волокон: подорожник, свекла, яблоко - для избавления от комков шерсти. Экстракт юкки Шидигера - контроль запаха экскрементов. Витамин С и гексаметафосфат натрия в составе Брит Кеа Кэт Монти Индор предотвращают образование зубного камня.
СОСТАВ: дегидратированная курица (22%), дегидратированная индейка (6%), рис, куриное филе(15%), куриный жир, рисовые отруби, сушеные яблоки, свекольный жом, куриная печень (2%), рыбий жир из лосося, пивные дрожжи, подорожник (200 мг/кг), маннаноолигосахариды (155 мг/кг), фруктоолигосахариды (125 мг/кг), экстракт юкки Шидигера (85 мг/кг), облепиха (50 мг/кг).";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для кошек живущих в квартире 2 кг;BRIT;;934;/storage/photo/original/d/brit-care-suhoj-korm-dlya-koshek-zhivushih-v-kvartire-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610031;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Беременность / лактация;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505524;
(Характеристики товара)Вес:2 кг";"Высокое содержание мяса (25% дегидрированной курицы, 22% куриного филе). Сбалансированный минеральный состав. Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Хорошо усваиваемые протеины улучшают развитие мускулатуры. Правильный баланс ДПА и ЭПА в Брит Кеа Кэт Крейзи Киттен поддерживает развитие мозга. Пребиотики и витамин С укрепляют иммунную систему.
Состав: дегидрированная курица (25%), филе курицы (22%), рис, куриный жир (консервирован токоферолами), рисовые отруби, сушеные яблоки, лососевое масло (3%), куриная печень (2%), пивные дрожжи, Маннан-олигосахариды (165 мг/кг), фруктоолигосахариды (135 мг/кг), экстракт юкки Шидигера (Yucca Schidigera) (90 мг/кг), облепиха крушиновидная (50 мг/кг). Гарантированный анализ: сырой белок 38%, сырой жир 20%, сырая клетчатка 2,5%, сырая зола 5,5%, влага 10%, кальций 1,4%, фосфор 0,9%, натрий 0,2%, магний 0,08%.";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для котят, беременных и кормящих кошек 2 кг;BRIT;;914;/storage/photo/original/d/brit-care-suhoj-korm-dlya-kotyat-beremennih-i-kormyashih-koshek-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610032;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Беременность / лактация;
(Характеристики товара)Возраст питомца:Котята;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:400 г;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505531;
(Характеристики товара)Вес:400 г";"Высокое содержание мяса (25% дегидрированной курицы, 22% куриного филе). Сбалансированный минеральный состав. Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Хорошо усваиваемые протеины улучшают развитие мускулатуры. Правильный баланс ДПА и ЭПА в Брит Кеа Кэт Крейзи Киттен поддерживает развитие мозга. Пребиотики и витамин С укрепляют иммунную систему.
Состав: дегидрированная курица (25%), филе курицы (22%), рис, куриный жир (консервирован токоферолами), рисовые отруби, сушеные яблоки, лососевое масло (3%), куриная печень (2%), пивные дрожжи, Маннан-олигосахариды (165 мг/кг), фруктоолигосахариды (135 мг/кг), экстракт юкки Шидигера (Yucca Schidigera) (90 мг/кг), облепиха крушиновидная (50 мг/кг). Гарантированный анализ: сырой белок 38%, сырой жир 20%, сырая клетчатка 2,5%, сырая зола 5,5%, влага 10%, кальций 1,4%, фосфор 0,9%, натрий 0,2%, магний 0,08%.";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для котят, беременных и кормящих кошек 400 г;BRIT;282;258;/storage/photo/original/d/brit-care-suhoj-korm-dlya-kotyat-beremennih-i-kormyashih-koshek-400-g.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610033;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:2 кг;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505739;
(Характеристики товара)Вес:2 кг";"ВЫСОКОКАЧЕСТВЕННЫЙ ГИПОАЛЛЕРГЕННЫЙ КОРМ С КУРИЦЕЙ И РИСОМ ДЛЯ СТЕРИЛИЗОВАННЫХ КОШЕК.
По медицинским причинам мой ветеринар порекомендовал мне стерилизацию. Моя хозяйка переживает, что после операции я могу прибавить в весе, поэтому она покупает мне специальные гранулы. Они помогают мне поддерживать оптимальный вес и, благодаря сбалансированному содержанию минералов, делают мочу менее концентрированной, поэтому мне не стоит опасаться проблем с почками.
Изменение pН-уровня мочи является одним из последствий стерилизации. Щелочной pH-уровень приводит к увеличению минерализации организма, раздражению мочеиспускательной системы и, тем самым, к повышению риска образования камней в мочевых путях и почках. Ограничение количества минералов в корме препятствует нежелательному отложению вредных веществ в организме, что обеспечивает предотвращение рисков, связанных с заболеваниями почек и мочеиспускательной системы.
Облепиха обладает сильным противовоспалительным действием, которое помогает обновить баланс в кишечнике.
Низкое содержание жиров и сочетание растворимой клетчатки из псиллиума, свеклы и яблок улучшает пищеварение и усвоение пищи и препятствует нежелательному увеличению веса.";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм для стерилизованных кошек Missy 2 кг;BRIT;;939;/storage/photo/original/d/brit-care-suhoj-korm-dlya-sterilizovannih-koshek-missy-2-kg.jpg
Зоотовары/Товары для кошек/Корма для кошек;1;610034;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:BRIT;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Стерилизация / Кастрация;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:400 г;
(Характеристики товара)Страна происхождения:-;
(Характеристики товара)EAN:8595602505746;
(Характеристики товара)Вес:400 г";"Высокое содержание мяса (20% дегидрированной курицы, 14% куриного филе, 14% дегидрированной индейки). Сбалансированный минеральный состав Облепиха крушиновидная, обладающая противовоспалительным и антибактериальным действием. А также обеспечивает защиту мочевыводящей системы. Гипоаллергенный состав. Витамин С и гексаметафосфат натрия. Низкое содержание магния в Брит Кеа Кэт Мисси поддерживает оптимальный pH мочи. Мало жира, много клетчатки помогает избежать излишнего веса, свойственного кастрированным и стерилизованным кошкам.
Ингредиенты: дегидрированная курица 20%, рис, куриное филе 14%, дегидрированная индейка 14%, куриный жир (консервирован токоферолами), рисовые отруби, сушеные яблоки, пивные дрожжи, куриная печень 2%, рыбий жир из лосося, маннанолигосахариды 155 мг/кг, фруктоолигосахариды 125 мг/кг, экстракт юкки Шидигера (yucca schidigera) 85 мг/кг, облепиха крушиновидная 50 мг/кг";Зоотовары/Товары для кошек/Корма для кошек;BRIT Care сухой корм for Sterilized для стерилизованных кошек 400 г;BRIT;;269;/storage/photo/original/d/brit-care-suhoj-korm-for-sterilized-dlya-sterilizovannih-koshek-400-g.jpg
