Артикул;Цена_Розничная;Доступно
440110;62;1
440111;0;0
440112;85;1
440113;73;1
440108;140;1
440109;185;1
440107;229;1
440103;203;1
440104;203;1
440105;203;1
440106;220;1
410542;22;1
440100;116;1
440101;60;1
440102;64;1
410541;254;1
410540;17;1
410538;30;1
410539;17;1
410535;27;1
410536;27;1
410537;34;1
410534;36;1
410533;31;1
410532;26;1
410530;18;1
410531;21;1
410527;46;1
410528;83;1
410529;13;1
410524;46;1
410525;46;1
410526;46;1
410522;295;1
410523;147;1
410521;384;1
410520;494;1
410519;384;1
410518;642;1
410517;670;1
410516;603;1
410515;402;1
410514;99;1
410513;788;1
410512;82;1
410511;603;1
410510;402;1
410509;234;1
410508;1538;1
410507;603;1
410506;402;1
410505;321;1
410503;788;1
410504;1057;1
410502;99;1
410501;603;1
410499;234;1
410500;402;1
410497;788;1
410498;1057;1
410496;99;1
410494;670;1
410495;603;1
410493;402;1
410491;603;1
410492;234;1
410490;402;1
410489;788;1
410488;709;1
410487;603;1
410485;243;1
410486;402;1
410483;603;1
410484;788;1
410482;;
410481;243;1
410479;402;1
410480;603;1
410478;319;1
410476;402;1
410477;603;1
410475;319;1
410474;603;1
410473;402;1
410472;319;1
410471;788;1
410470;273;1
410468;1068;1
410469;74;1
410466;1068;1
410467;74;1
410464;1438;1
410465;334;1
410463;53;1
410461;150;1
410462;334;1
410459;61;1
410460;41;1
410458;319;1
410457;187;1
410455;410;1
410456;47;1
410454;705;1
410452;319;1
410453;61;1
410451;187;1
410450;41;1
410449;546;1
410448;47;1
410447;410;1
410446;241;1
410443;290;1
410444;290;1
410445;382;1
410440;741;1
410441;127;1
410442;273;1
410439;741;1
410438;741;1
410436;741;1
410437;2778;1
410434;741;1
410435;1050;1
410432;741;1
410433;741;1
410428;741;1
410429;741;1
410430;1373;1
410431;2778;1
410427;741;1
410426;741;1
410425;741;1
410422;741;1
410423;741;1
410424;741;1
410419;741;1
410420;1050;1
410421;741;1
410416;53;1
410417;1050;1
410418;1050;1
410413;53;1
410414;;
410415;273;1
410412;273;1
410411;273;1
410410;51;1
410409;51;1
410408;538;1
410407;48;1
410406;386;1
410405;195;1
410404;;
410402;386;1
410403;;
410401;195;1
410400;51;1
410399;57;1
410398;386;1
410397;195;1
410396;94;1
410395;51;1
410394;747;1
410393;538;1
410392;;
410390;195;1
410391;386;1
410389;1123;1
410388;1123;1
410387;747;1
410384;386;1
410385;57;1
410386;538;1
410383;195;1
410380;387;1
410381;538;1
410382;195;1
410379;195;1
410378;538;1
410377;387;1
410376;305;1
410373;273;1
410374;62;1
410375;289;1
410370;83;1
410371;83;1
410372;273;1
410369;118;1
410367;825;1
410368;118;1
410365;581;1
410366;825;1
410363;581;1
410364;581;1
410361;581;1
410362;581;1
410360;825;1
410359;581;1
410358;581;1
410356;396;1
410357;581;1
410355;467;1
410354;430;1
410352;784;1
410353;1053;1
410349;784;1
410350;784;1
410351;430;1
410348;784;1
410347;784;1
410345;749;1
410346;430;1
410344;430;1
410343;118;1
410342;40;1
410341;40;1
410340;277;1
410339;40;1
410338;738;1
410337;42;1
410336;200;1
410335;44;1
410334;53;1
410333;259;1
410332;35;1
410331;0;0
410330;651;1
410328;471;1
410329;42;1
410327;200;1
410325;471;1
410326;53;1
410324;259;1
410323;259;1
410321;164;1
410322;164;1
410320;56;1
410319;230;1
410317;218;1
410318;53;1
410315;881;1
410316;221;1
410314;546;1
410312;334;1
410313;56;1
410310;334;1
410311;1438;1
410309;881;1
410308;546;1
410306;334;1
410307;;
410303;619;1
410304;230;1
410305;56;1
410302;459;1
410300;38;1
410301;276;1
410299;198;1
410297;57;1
410298;502;1
410295;131;1
410296;238;1
410292;307;1
410290;629;1
410291;126;1
410294;629;1
410293;389;1
410289;45;1
410287;128;1
410288;238;1
410285;1936;1
410286;38;1
410283;237;1
410284;48;1
410281;85;1
410282;795;1
410280;618;1
410279;413;1
410278;237;1
410276;413;1
410277;84;1
410274;79;1
410275;234;1
410272;108;1
410273;795;1
410270;413;1
410271;765;1
410269;413;1
410267;394;1
410268;413;1
410266;391;1
410264;99;1
410265;627;1
410263;734;1
410262;485;1
410259;734;1
410260;90;1
410261;286;1
410258;90;1
410257;964;1
410255;734;1
410256;99;1
410254;485;1
410252;1999;1
410253;286;1
410251;591;1
410250;1999;1
410249;1366;1
410248;964;1
410247;99;1
410246;734;1
410245;485;1
410244;286;1
410243;964;1
410242;485;1
410241;288;1
410240;964;1
410239;734;1
410238;485;1
410237;288;1
410236;259;1
410235;485;1
410234;288;1
410233;734;1
410232;964;1
410231;259;1
410230;485;1
410229;288;1
410228;485;1
410227;394;1
410226;734;1
410225;394;1
410224;964;1
410223;485;1
410222;485;1
410221;394;1
410220;964;1
410219;734;1
410218;485;1
410217;394;1
410216;485;1
410215;394;1
410214;1465;1
410211;485;1
410212;734;1
410213;1465;1
410210;964;1
410209;99;1
410208;734;1
410206;256;1
410207;485;1
410205;286;1
410203;594;1
410204;548;1
410202;1059;1
410200;298;1
410201;147;1
410199;302;1
410197;190;1
410198;147;1
410196;150;1
410195;120;1
410193;34;1
410194;120;1
410192;49;1
410191;180;1
410189;395;1
410190;39;1
410187;87;1
410188;134;1
410186;40;1
410185;78;1
410184;190;1
410182;183;1
410183;183;1
410179;382;1
410180;248;1
410181;190;1
410176;51;1
410177;34;1
410178;77;1
410174;48;1
410175;65;1
410173;153;1
410172;170;1
410170;170;1
410171;72;1
410169;72;1
410168;105;1
410166;264;1
410167;127;1
410164;446;1
410165;264;1
410161;446;1
410162;264;1
410163;264;1
410159;264;1
410160;264;1
410157;446;1
410158;264;1
410156;264;1
410155;264;1
410154;264;1
410153;446;1
410152;264;1
410151;446;1
410150;264;1
410147;189;1
410148;189;1
410149;189;1
410146;623;1
410144;189;1
410145;189;1
410143;111;1
410141;111;1
410142;111;1
410139;197;1
410140;342;1
410135;184;1
410136;311;1
410137;184;1
410138;100;1
410134;311;1
410133;184;1
410131;184;1
410132;311;1
410130;311;1
410129;184;1
410128;311;1
410127;250;1
410126;184;1
410125;311;1
410124;250;1
410123;98;1
410121;184;1
410122;311;1
410120;184;1
410119;311;1
410118;184;1
410116;184;1
410117;311;1
410114;311;1
410115;184;1
410113;98;1
410112;311;1
410111;184;1
410110;177;1
410109;177;1
410108;0;0
410105;148;1
410106;264;1
410107;264;1
410103;96;1
410104;96;1
410100;283;1
410101;384;1
410102;384;1
460232;165;1
460233;69;1
460234;241;1
460235;122;1
460229;273;1
460230;293;1
460231;100;1
460227;345;1
460228;278;1
460224;78;1
460225;61;1
460226;296;1
460223;57;1
460221;82;1
460222;16;1
460220;27;1
460219;105;1
460218;196;1
460217;0;0
460214;263;1
460215;20;1
460216;74;1
460213;150;1
460212;62;1
460211;62;1
460208;72;1
460209;91;1
460210;91;1
460207;69;1
460206;192;1
460204;73;1
460205;151;1
460200;81;1
460201;87;1
460202;107;1
460203;120;1
460199;235;1
460197;186;1
460198;165;1
460196;234;1
460194;142;1
460195;286;1
460192;53;1
460193;88;1
460191;57;1
460189;329;1
460190;83;1
460187;416;1
460188;212;1
460185;;
460186;507;1
460183;86;1
460184;368;1
460179;208;1
460180;124;1
460181;222;1
460182;112;1
460176;83;1
460177;75;1
460178;33;1
460174;213;1
460175;169;1
460170;160;1
460171;168;1
460172;196;1
460173;169;1
460168;125;1
460169;153;1
460166;99;1
460167;187;1
460165;170;1
460163;196;1
460160;122;1
460164;178;1
460161;179;1
460162;178;1
460159;173;1
460155;73;1
460156;88;1
460157;200;1
460158;222;1
460154;43;1
460152;48;1
460153;30;1
460150;134;1
460151;195;1
460147;304;1
460148;204;1
460149;173;1
460144;238;1
460145;291;1
460146;134;1
460143;241;1
460142;224;1
460141;181;1
460138;268;1
460139;251;1
460140;229;1
460136;0;0
460137;91;1
460135;60;1
460134;16;1
460133;14;1
460131;104;1
460132;87;1
460129;123;1
460130;365;1
460126;304;1
460127;338;1
460128;147;1
460125;267;1
460123;33;1
460124;174;1
460122;121;1
460119;416;1
460120;195;1
460121;319;1
460118;556;1
460114;177;1
460115;286;1
460116;286;1
460117;468;1
460113;191;1
460111;350;1
460112;236;1
460109;137;1
460110;294;1
460108;350;1
460106;138;1
460107;298;1
460105;247;1
460103;87;1
460104;307;1
460100;178;1
460101;0;0
460102;78;1
450178;196;1
450179;196;1
450175;66;1
450176;196;1
450177;196;1
450173;85;1
450174;66;1
450167;52;1
450168;52;1
450169;52;1
450170;52;1
450171;248;1
450172;118;1
450165;116;1
450166;52;1
450163;64;1
450164;64;1
450161;64;1
450162;64;1
450159;148;1
450160;125;1
450158;224;1
450157;224;1
450155;267;1
450156;224;1
450152;220;1
450153;;
450154;267;1
450150;252;1
450151;785;1
450149;785;1
450148;785;1
450147;103;1
450145;198;1
450146;267;1
450144;;
450142;633;1
450143;319;1
450141;319;1
450139;319;1
450140;319;1
450138;319;1
450137;319;1
450135;312;1
450136;312;1
450134;312;1
450133;283;1
450132;243;1
450131;243;1
450130;283;1
450128;334;1
450129;0;0
450127;0;0
450124;293;1
450125;334;1
450126;243;1
450122;300;1
450123;126;1
450121;399;1
450120;103;1
450119;256;1
450118;103;1
450116;256;1
450117;182;1
450115;81;1
450114;103;1
450113;399;1
450112;81;1
450110;81;1
450111;103;1
450109;182;1
450108;399;1
450107;81;1
450106;81;1
450104;324;1
450105;283;1
450103;324;1
450102;324;1
450101;243;1
450100;536;1
430284;290;1
430285;125;1
430283;120;1
430282;93;1
430281;50;1
430280;93;1
430279;50;1
430278;93;1
430277;65;1
430276;50;1
430275;50;1
430274;91;1
430272;93;1
430273;50;1
430271;50;1
430269;199;1
430270;93;1
430263;111;1
430264;199;1
430265;111;1
430266;111;1
430267;111;1
430268;111;1
430262;65;1
430260;278;1
430261;65;1
430259;64;1
430258;118;1
430257;64;1
430254;64;1
430255;118;1
430256;64;1
430253;64;1
430252;118;1
430251;127;1
430250;127;1
430248;123;1
430249;156;1
430246;146;1
430247;124;1
430245;56;1
430243;56;1
430244;0;0
430242;100;1
430241;56;1
430240;56;1
430239;121;1
430237;153;1
430238;121;1
430236;164;1
430235;90;1
430233;164;1
430234;153;1
430232;178;1
430230;153;1
430231;90;1
430228;0;0
430229;153;1
430226;153;1
430227;762;1
430224;153;1
430225;153;1
430222;90;1
430223;164;1
430219;90;1
430220;164;1
430221;153;1
430217;90;1
430218;153;1
430214;762;1
430215;108;1
430216;;
430213;269;1
430212;290;1
430211;207;1
430210;253;1
430209;315;1
430208;299;1
430207;267;1
430206;240;1
430205;83;1
430203;64;1
430204;64;1
430202;62;1
430201;85;1
430200;62;1
430199;85;1
430198;48;1
430197;111;1
430196;85;1
430195;48;1
430194;85;1
430193;62;1
430191;158;1
430192;215;1
430190;89;1
430189;157;1
430187;215;1
430188;90;1
430185;204;1
430186;114;1
430184;90;1
430183;204;1
430182;89;1
430181;204;1
430180;157;1
430179;90;1
430177;273;1
430178;216;1
430176;429;1
430174;273;1
430175;429;1
430172;1278;1
430173;384;1
430168;1278;1
430169;1611;1
430170;423;1
430171;735;1
430165;183;1
430166;555;1
430167;917;1
430164;278;1
430162;312;1
430163;555;1
430161;1564;1
430159;773;1
430160;1268;1
430158;547;1
430157;359;1
430156;1564;1
430155;1268;1
430154;973;1
430153;773;1
430152;547;1
430151;592;1
430150;324;1
430146;108;1
430147;221;1
430148;70;1
430149;589;1
430145;127;1
430144;127;1
430143;;
430142;64;1
430141;64;1
430138;273;1
430139;273;1
430140;618;1
430137;263;1
430135;175;1
430136;155;1
430134;244;1
430132;198;1
430133;;
430131;198;1
430130;198;1
430128;198;1
430129;109;1
430127;170;1
430126;109;1
430125;109;1
430124;198;1
430123;170;1
430121;225;1
430122;109;1
430120;170;1
430119;109;1
430118;198;1
430117;170;1
430116;109;1
430115;198;1
430114;109;1
430112;195;1
430113;211;1
430111;247;1
430110;247;1
430109;247;1
430107;1410;1
430108;;
430106;980;1
430105;103;1
430104;343;1
430103;;
430100;304;1
430101;445;1
430102;285;1
790010;106;1
790011;107;1
790012;120;1
790013;122;1
790014;122;1
790015;235;1
790016;216;1
790017;212;1
790018;299;1
790019;147;1
790020;255;1
790021;186;1
790022;159;1
790023;243;1
790024;330;1
790025;235;1
790026;235;1
790027;189;1
790028;189;1
790029;82;1
790030;82;1
790031;82;1
790032;133;1
790033;173;1
790034;144;1
790035;178;1
770010;;
770011;;
770012;;
770013;941;1
770014;958;1
770015;1009;1
770016;1117;1
770017;138;1
770018;;
770019;;
770020;;
770021;;
770022;;
770023;;
770024;;
770025;;
770026;;
770027;;
770028;;
770029;;
770030;;
770031;;
770032;;
770033;;
770034;;
770035;;
770036;;
770037;;
770038;315;1
770039;335;1
770040;337;1
770041;;
770042;;
770043;;
770044;473;1
770045;478;1
770046;495;1
770047;427;1
770048;409;1
770049;427;1
770050;558;1
770051;564;1
770052;564;1
770053;571;1
770054;628;1
770055;659;1
770056;690;1
770057;693;1
770058;698;1
770059;674;1
770060;;
770061;836;1
770062;909;1
770063;;
770064;998;1
770065;;
770066;;
770067;1039;1
770068;1061;1
770069;1235;1
770070;453;1
770071;1368;1
770072;1624;1
770073;2498;1
770074;1624;1
770075;2498;1
770076;1186;1
780010;203;1
780011;216;1
780012;216;1
780013;233;1
780014;212;1
780015;356;1
780016;395;1
780017;477;1
780018;397;1
780019;470;1
790100;325;1
790101;605;1
790102;127;1
790103;753;1
790104;360;1
790105;140;1
790106;664;1
790107;529;1
790108;261;1
790109;684;1
790110;918;1
790111;908;1
790112;784;1
790113;948;1
790114;948;1
790115;948;1
790116;749;1
720010;643;1
720011;657;1
720012;399;1
720013;463;1
720014;47;1
720015;60;1
720016;88;1
720017;113;1
720018;0;0
720019;139;1
720020;139;1
720021;146;1
720022;172;1
720023;179;1
720024;195;1
720025;195;1
720026;211;1
720027;263;1
720028;263;1
720029;263;1
720030;73;1
720031;82;1
720032;87;1
720033;129;1
720034;129;1
720035;137;1
720036;0;0
720037;163;1
720038;166;1
720039;1829;1
720040;2098;1
720041;2098;1
720042;2098;1
720043;188;1
720044;188;1
720045;188;1
720046;3048;1
720047;334;1
720048;315;1
720049;431;1
720050;55;1
720051;104;1
720052;104;1
720053;848;1
720054;848;1
720055;848;1
720056;131;1
720057;131;1
720058;131;1
720059;79;1
720060;79;1
720061;66;1
720062;79;1
720063;83;1
720064;103;1
720065;139;1
720066;169;1
720067;0;0
720068;75;1
720069;98;1
720070;143;1
720071;143;1
720072;90;1
720073;126;1
720074;82;1
720075;213;1
720076;133;1
720077;21;1
720078;21;1
720079;25;1
720080;25;1
720081;25;1
720082;27;1
720083;27;1
720084;26;1
720085;26;1
720086;21;1
720087;21;1
720088;87;1
720089;35;1
720090;35;1
720091;56;1
720092;56;1
720093;56;1
720094;92;1
720095;21;1
720096;36;1
720097;59;1
720098;59;1
720099;74;1
720100;199;1
720101;174;1
720102;174;1
720103;122;1
720104;189;1
720105;189;1
720106;144;1
720107;144;1
720108;176;1
720109;176;1
720110;151;1
720111;775;1
720112;372;1
720113;424;1
720114;228;1
720115;114;1
710100;112;1
710101;124;1
710102;163;1
710103;237;1
710104;238;1
710105;308;1
710106;426;1
710107;555;1
710108;705;1
710109;767;1
710110;767;1
710111;78;1
710112;125;1
710113;374;1
710114;374;1
710115;374;1
710116;388;1
710117;428;1
710118;428;1
710119;464;1
710120;464;1
710121;1259;1
710122;1305;1
710123;1305;1
710124;1353;1
710125;1353;1
710126;1353;1
710127;1353;1
710128;1356;1
710129;1356;1
710130;1443;1
710131;1443;1
710132;1443;1
710133;1443;1
710134;1443;1
710135;1444;1
710136;1457;1
710137;1457;1
710138;1457;1
710139;1457;1
710140;1457;1
710141;1476;1
710142;1476;1
710143;1491;1
710144;1494;1
710145;1494;1
710146;1494;1
710147;1685;1
710148;1394;1
710149;1689;1
710150;1689;1
710151;1689;1
710152;1689;1
710153;1689;1
710154;1551;1
710155;1551;1
710156;1551;1
710157;1551;1
710158;1551;1
710159;1551;1
710160;1551;1
710161;1551;1
710162;1551;1
710163;1551;1
710164;1403;1
710165;1403;1
710166;1315;1
710167;1564;1
710168;1564;1
710169;1564;1
710170;1564;1
710171;1564;1
710172;1564;1
710173;1564;1
710174;1608;1
710175;1608;1
710176;1608;1
710177;1571;1
710178;1697;1
710179;1643;1
710180;1419;1
710181;1419;1
710182;1419;1
710183;1420;1
710184;1691;1
710185;1691;1
710186;1691;1
710187;1691;1
710188;1397;1
710189;1431;1
710190;1678;1
710191;1678;1
710192;1678;1
710193;1473;1
710194;1750;1
710195;1750;1
710196;1750;1
710197;1750;1
710198;1750;1
710199;1750;1
710200;1750;1
710201;1750;1
710202;1750;1
710203;1756;1
710204;1756;1
710205;1756;1
710206;1780;1
710207;1814;1
710208;194;1
710209;194;1
710210;194;1
710211;194;1
710212;194;1
710213;1888;1
710214;1899;1
710215;1899;1
710216;1899;1
710217;1904;1
710218;1911;1
710219;1911;1
710220;1911;1
710221;1911;1
710222;1911;1
710223;1911;1
710224;1911;1
710225;1930;1
710226;1733;1
710227;204;1
710228;204;1
710229;204;1
710230;2045;1
710231;2045;1
710232;2045;1
710233;2045;1
710234;2056;1
710235;2063;1
710236;2063;1
710237;2063;1
710238;2063;1
710239;2063;1
710240;2063;1
710241;2063;1
710242;2063;1
710243;216;1
710244;2044;1
710245;231;1
710246;234;1
710247;2390;1
710248;2405;1
710249;260;1
710250;260;1
710251;260;1
710252;263;1
710253;2568;1
710254;2568;1
710255;2568;1
710256;2568;1
710257;2568;1
710258;2568;1
710259;2568;1
710260;2568;1
710261;2568;1
710262;268;1
710263;274;1
710264;2699;1
710265;2699;1
710266;2699;1
710267;2699;1
710268;2699;1
710269;2699;1
710270;2734;1
710271;2734;1
710272;291;1
710273;291;1
710274;291;1
710275;291;1
710276;291;1
710277;291;1
710278;293;1
710279;2948;1
710280;2948;1
710281;2948;1
710282;2948;1
710283;2975;1
710284;2975;1
710285;3055;1
710286;3055;1
710287;3055;1
710288;322;1
710289;322;1
710290;330;1
710291;330;1
710292;334;1
710293;3213;1
710294;3213;1
710295;34;1
710296;34;1
710297;34;1
710298;34;1
710299;3273;1
710300;3273;1
710301;3273;1
710302;300;1
710303;300;1
710304;300;1
710305;300;1
710306;394;1
710307;394;1
710308;394;1
710309;402;1
710310;402;1
710311;364;1
710312;364;1
710313;364;1
710314;350;1
710315;350;1
710316;350;1
710317;350;1
710318;350;1
710319;350;1
710320;350;1
710321;350;1
710322;350;1
710323;4316;1
710324;4316;1
710325;4316;1
710326;4316;1
710327;438;1
710328;438;1
710329;412;1
710330;412;1
710331;412;1
710332;412;1
710333;4514;1
710334;480;1
710335;498;1
710336;464;1
710337;438;1
710338;542;1
710339;542;1
710340;542;1
710341;542;1
710342;530;1
710343;530;1
710344;530;1
710345;554;1
710346;554;1
710347;554;1
710348;569;1
710349;582;1
710350;589;1
710351;589;1
710352;594;1
710353;594;1
710354;594;1
710355;619;1
710356;619;1
710357;619;1
710358;644;1
710359;677;1
710360;677;1
710361;680;1
710362;680;1
710363;705;1
710364;705;1
710365;1510;1
710366;715;1
710367;715;1
710368;715;1
710369;715;1
710370;731;1
710371;0;0
710372;785;1
710373;808;1
710374;;
710375;844;1
710376;873;1
710377;875;1
710378;903;1
710379;904;1
710380;904;1
710381;916;1
710382;918;1
710383;918;1
710384;;
710385;;
710386;935;1
710387;935;1
710388;0;0
710389;935;1
710390;951;1
710391;951;1
710392;951;1
710393;951;1
710394;959;1
710395;959;1
710396;985;1
710397;991;1
710398;991;1
710399;1005;1
710400;1005;1
710401;1005;1
710402;990;1
710403;1024;1
710404;1039;1
710405;1039;1
710406;1039;1
710407;1066;1
710408;1066;1
710409;1085;1
710410;1085;1
710411;1085;1
710412;1085;1
710413;1103;1
710414;1103;1
710415;1108;1
710416;1136;1
710417;988;1
710418;988;1
710419;989;1
710420;989;1
710421;989;1
710422;989;1
710423;989;1
710424;1181;1
710425;1181;1
710426;1195;1
710427;1195;1
710428;1201;1
710429;1260;1
710430;1260;1
710431;1260;1
710432;1260;1
710433;1260;1
710434;1260;1
710435;1260;1
710436;1260;1
710437;1211;1
710438;1226;1
710439;1238;1
710440;1244;1
710441;1244;1
710442;1457;1
710443;1204;1
710444;0;0
710445;1167;1
710446;1104;1
710447;1104;1
710448;988;1
710449;873;1
710450;1151;1
710451;1151;1
710452;1151;1
710453;1151;1
710454;1151;1
710455;1151;1
710456;1151;1
710457;873;1
710458;984;1
710459;984;1
710460;984;1
710461;746;1
710462;746;1
710463;746;1
710464;746;1
710465;1476;1
710466;1476;1
710467;1918;1
710468;997;1
710469;1452;1
710470;997;1
710471;1918;1
710472;1510;1
710473;1162;1
710474;997;1
710475;1918;1
710476;1510;1
710477;1162;1
710478;1162;1
710479;1918;1
710480;654;1
710481;654;1
710482;654;1
710483;654;1
710484;1230;1
710485;825;1
710486;1645;1
710487;1230;1
710488;824;1
710489;1230;1
710490;1645;1
710491;824;1
710492;1646;1
710493;1230;1
710494;824;1
710495;1104;1
710496;1104;1
710497;1104;1
710498;1104;1
710499;1689;1
710500;1689;1
710501;1248;1
710502;1248;1
710503;1248;1
710504;1248;1
710505;829;1
710506;829;1
710507;829;1
710508;829;1
710509;879;1
710510;840;1
710511;840;1
710512;840;1
710513;840;1
740010;176;1
740011;179;1
740012;190;1
740013;203;1
740014;96;1
740015;100;1
740016;177;1
740017;160;1
740018;197;1
740019;207;1
740020;207;1
740021;215;1
740022;230;1
740023;230;1
740024;264;1
740025;321;1
740026;311;1
740027;197;1
740028;355;1
740029;517;1
740030;424;1
740031;424;1
740032;608;1
740033;465;1
740034;607;1
740035;533;1
740036;533;1
740037;603;1
740038;56;1
740039;56;1
740040;56;1
740041;568;1
740042;581;1
740043;56;1
740044;72;1
740045;72;1
740046;788;1
740047;100;1
740048;;
740049;108;1
740050;157;1
740051;506;1
740052;506;1
780100;151;1
780101;325;1
780102;324;1
780103;324;1
780104;333;1
780105;374;1
780106;360;1
780107;412;1
780108;387;1
780109;420;1
780110;416;1
780111;491;1
780112;428;1
780113;500;1
780114;563;1
780115;540;1
780116;586;1
780117;592;1
780118;633;1
780119;588;1
780120;682;1
780121;653;1
780122;88;1
780123;131;1
780124;138;1
780125;179;1
780126;208;1
780127;153;1
780128;131;1
780129;185;1
780130;91;1
780131;179;1
780132;166;1
780133;117;1
780134;105;1
780135;131;1
780136;727;1
780137;1178;1
780138;829;1
780139;204;1
780140;679;1
780141;701;1
780142;653;1
780143;2652;1
780144;888;1
780145;777;1
780146;840;1
780147;717;1
780148;603;1
780149;700;1
780150;700;1
780151;674;1
780152;674;1
780153;674;1
780154;720;1
780155;720;1
780156;720;1
780157;832;1
780158;86;1
780159;86;1
780160;86;1
780161;88;1
780162;86;1
780163;88;1
780164;88;1
780165;542;1
780166;590;1
780167;542;1
780168;421;1
780169;350;1
780170;247;1
780171;303;1
780172;263;1
780173;310;1
780174;310;1
780175;310;1
780176;350;1
780177;375;1
780178;375;1
780179;397;1
780180;495;1
780181;523;1
780182;522;1
780183;495;1
780184;561;1
780185;557;1
780186;532;1
780187;559;1
780188;586;1
780189;105;1
780190;105;1
780191;101;1
780192;105;1
780193;403;1
780194;403;1
780195;103;1
780196;137;1
780197;454;1
780198;75;1
780199;143;1
780200;677;1
780201;443;1
780202;486;1
780203;677;1
780204;677;1
780205;727;1
780206;727;1
780207;677;1
780208;677;1
780209;677;1
780210;677;1
780211;727;1
780212;727;1
780213;755;1
780214;663;1
780215;758;1
780216;758;1
780217;758;1
780218;607;1
780219;768;1
730010;394;1
730011;697;1
730012;130;1
730013;131;1
730014;0;0
730015;163;1
730016;194;1
730017;194;1
730018;198;1
730019;225;1
730020;255;1
730021;306;1
730022;31;1
730023;31;1
730024;31;1
730025;0;0
730026;0;0
730027;35;1
730028;35;1
730029;389;1
730030;39;1
730031;46;1
730032;48;1
730033;48;1
730034;52;1
730035;52;1
730036;62;1
730037;65;1
730038;65;1
730039;65;1
730040;70;1
730041;;
730042;75;1
730043;0;0
320010;182;1
320011;216;1
320012;229;1
