"Категории";"Основная категория";"Показывать товар";"Артикул";"Короткое название";"Характеристики";"Описание товара";"Цена_Трансазия";"Цена_Розничная";"Бренд";"Фотографии";"Цена_Зачеркнутая";"Сопутствующие товары";"Похожие товары"
"Бытовая химия/Чистящие средства/Универсальные чистящие средства";"Бытовая химия/Чистящие средства/Универсальные чистящие средства";1;460443;"IKEEP Чистящий  крем Soft 700 мл";"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:IKEEP;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4601892007328;
(Характеристики товара (Бытовая химия))Вес:700 мл;
(Характеристики товара (Бытовая химия))Код товара:00000033472";" Чистящий крем IKEEP Soft  --> <br><p> Чистящий крем IKEEP для ежедневной уборки всего дома на основе мраморной тонкодисперсной пудры. Эффективно справляется с различными загрязнениями на любой поверхности, не повреждая ее. Удобная консистенция крема позволяет равномерно нанести его на поверхность и легко удалить. </p>
<br>
<br> ОСОБЕННОСТИ ПРОДУКТА: <br>
<br>
<li> Годится для санитарной уборки всего дома.</li><li> Эффективно удаляет различные загрязнения. </li><li> Придает блеск. </li><li> Не содержит хлор и нефтехимические соединения. </li><li> Без запаха. </li>
<br>
Состав:  >30% мягкий абразивный наполнитель, <5% анионные ПАВ, <5% олеиновая кислота, <5% натр едкий, <5% полиоксидхлорид алюминия, <5% консервант, <5% ароматизирующая добавка.";112;140;"IKEEP";"/storage/photo/original/h/ikeep-chistyashij-krem-soft-700-ml.jpg";;"CLIN моющее средство Окна и Стекла лимон 500 мл;PRONTO полироль для мебели Классик 5в1 250 мл;BAGI салфетки в рулоне Чудо Тряпка анти-ворсинки 140 шт";"ЧИСТЮЛЯ швабра с насадкой из микрофибры;QUALITA перчатки хозяйственные Universal M;IKEEP Чистящий  крем Soft 700 мл"
"Детские товары/Подгузники и пеленание/Подгузники и трусики";"Детские товары/Подгузники и пеленание/Подгузники и трусики";1;790185;"GOON трусики-подгузники для мальчиков XXL (13-25кг)  28 шт";"(Характеристики товара (Детские товары))Тип товара:Трусики;
(Характеристики товара (Детские товары))Бренд:GOON;
(Характеристики товара (Детские товары))Страна происхождения:Япония;
(Характеристики товара (Детские товары))EAN:4902011751420;
(Характеристики товара (Детские товары))Количество:28 шт;
(Характеристики товара (Детские товары))Код товара:CB-00040594";"<br><p>
Японские подгузники-трусики GOON размера ХХL для мальчиков весом от 13 до 25 кг в новой упаковке. Отличительной особенностью трусиков для мальчиков является расположение впитывающего слоя ближе к области живота. Трусики плотно и нежно облегают животик и ножки малыша, не препятствуя движениям. В них он чувствует себя свободно и защищено. Дополнительный дышащий и впитывающий слой гарантирует комфортный и спокойный сон.
Невероятно мягкие и нежные подгузники моментально впитывают влагу и долго удерживают ее внутри.
Содержат натуральный витамин Е, который питает кожу и повышает ее защитные функции.
Подгузники прекрасно пропускают воздух, предотвращая появление опрелостей.
Мягкие резинки на бортиках и манжетах обеспечивают нежную фиксацию и надежно защищают от протеканий.
Трусики-подгузники удобно надевать и снимать. В то же время, когда подгузник наполнен, достаточно разорвать боковые швы, чтобы снять его с малыша.
При увлажнении линии-индикаторы изменяют цвет на синий, напоминая о необходимости поменять подгузник.
Не раздражают кожу, гипоаллергенны.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Подгузники-трусики удобны тем, что надеваются как обычные трусики.</li><li>Сторона с липкой лентой для скручивания должна находиться сзади.</li><li>Подгузники-трусики легко снимать, разорвав их по шву снизу вверх.</li>";;" ";"GOON";"/storage/photo/original/h/goon-trusiki-podguzniki-dlya-malchikov-xxl-13-25kg-28-sht.jpg";1480;"BIONI молочко детское Увлажняющее с д-пантенолом 250 мл;LIBERO пеленки одноразовые 50x70 6 шт;KABRITA каша на козьем молочке Рисовая с 4 месяцев 180 г";"МАРА гель для стирки Для Детского Белья 1 л;ЛАПОЧКА пена для ванн детская 300 мл;GOON трусики-подгузники для мальчиков XXL (13-25кг)  28 шт"
"Детские товары/Подгузники и пеленание/Подгузники и трусики";"Детские товары/Подгузники и пеленание/Подгузники и трусики";1;790186;"GOON трусики-подгузники для девочек  XXL (13-25кг) 28 шт";"(Характеристики товара (Детские товары))Тип товара:Трусики;
(Характеристики товара (Детские товары))Бренд:GOON;
(Характеристики товара (Детские товары))Страна происхождения:Япония;
(Характеристики товара (Детские товары))EAN:4902011751437;
(Характеристики товара (Детские товары))Количество:28 шт;
(Характеристики товара (Детские товары))Код товара:CB-00040597";"<br><p>Японские подгузники-трусики GOON размера ХХL для девочек весом от 13 до 25 кг идеальны для активных и подвижных малышей. Отличительной особенностью трусиков для девочек является расположение  впитывающего слоя  ближе к ягодицам. Трусики плотно и нежно облегают животик и ножки малыша, не препятствуя движениям. В них он чувствует себя свободно и защищено. Дополнительный дышащий и впитывающий слой гарантирует комфортный и спокойный сон.
Невероятно мягкие и нежные подгузники моментально впитывают влагу и долго удерживают ее внутри.
Содержат натуральный витамин Е, который питает кожу и повышает ее защитные функции.
Подгузники прекрасно пропускают воздух, предотвращая появление опрелостей.
Мягкие резинки на бортиках и манжетах обеспечивают нежную фиксацию и надежно защищают от протеканий.
Трусики-подгузники удобно надевать и снимать. В то же время, когда подгузник наполнен, достаточно разорвать боковые швы, чтобы снять его с малыша.
При увлажнении линии-индикаторы изменяют цвет на синий, напоминая о необходимости поменять подгузник.
Не раздражают кожу,  гипоаллергенны.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Подгузники-трусики удобны тем, что надеваются как обычные трусики.</li><li>Сторона с липкой лентой для скручивания должна находиться сзади.</li><li>Подгузники-трусики легко снимать, разорвав их по шву снизу вверх.</li>";;" ";"GOON";"/storage/photo/original/h/goon-trusiki-podguzniki-dlya-devochek-xxl-13-25kg-28-sht.jpg";1480;"МАЛЮТКА молочная смесь 1 с рождения 600 г;ГАДКИЙ Я гель для душа Тропический микс 250 мл;MEINE LIEBE  карандаш-пятновыводитель  для детского белья 35 г";"HELEN HARPER пеленки впитывающие Soft & Dry 60x90 30 шт;ПРИНЦЕССА Пена для ванн Волшебная 400 мл;GOON трусики-подгузники для девочек  XXL (13-25кг) 28 шт"
"Детские товары/Подгузники и пеленание/Подгузники и трусики";"Детские товары/Подгузники и пеленание/Подгузники и трусики";1;790187;"MOMI подгузники Premium L  (9-14 кг) 50 шт";"(Характеристики товара (Детские товары))Тип товара:Подгузники;
(Характеристики товара (Детские товары))Бренд:MOMI;
(Характеристики товара (Детские товары))Страна происхождения:Китай;
(Характеристики товара (Детские товары))EAN:4573726789284;
(Характеристики товара (Детские товары))Количество:50 шт;
(Характеристики товара (Детские товары))Код товара:CB-00044749";"<br><p>
Изготовлены из гипоаллергенных природных материалов. Инновационный супервпитывающий верхний слой создан для точечного и нежного соприкосновения с кожей малыша, которая дышит все время, пока малыш носит подгузник!
</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:
<li>Индикатор сигнализирует о наполнении подгузника (полоска становится голубовато-зеленой)</li>
<li>Бесшумная закрепляющая лента</li>
<li>Прочная и простая в использовании застежка может расстегиваться и застегиваться необходимое количество раз</li>
<li>Наличие вентилируемых складок, которые обеспечивают воздухопроницаемость</li>
<li>Подгузники мягкие, как кожа грудничка</li>
<li>В моделях для новорожденных предусмотренна особая защита, в области пупка имеется вырез, это очень удобно и актуально в данном возрасте</li>
<li>Для изготовления используют мягкий не шуршащий материал, поэтому движения ребенка не будут сопровождаться какими-либо звуками. А для родителей это отличная возможность менять наполненный подгузник, когда малыш спит, не нарушая его сон</li>
<li>Дети постарше придут в восторг от красочных разнообразных рисунков, украшающих хлопковые изделия</li>";;" ";"MOMI";"/storage/photo/original/h/momi-podguzniki-premium-l-9-14-kg-50-sht.jpg";1073;"ГАДКИЙ Я гель для душа Тропический микс 250 мл;KABRITA молочная смесь Gold 2 с шести месяцев 400 г;TIDE стиральный порошок Детский автомат 2,4 кг";"ГАДКИЙ Я гель для душа Банан 250 мл;HELEN HARPER пеленки впитывающие Soft & Dry 60x90 30 шт;MOMI подгузники Premium L  (9-14 кг) 50 шт"
"Детские товары/Подгузники и пеленание/Подгузники и трусики";"Детские товары/Подгузники и пеленание/Подгузники и трусики";1;790188;"YOUR SUN подгузники M  (5-10кг) 60 шт";"(Характеристики товара (Детские товары))Тип товара:Подгузники;
(Характеристики товара (Детские товары))Бренд:YOUR SUN;
(Характеристики товара (Детские товары))Страна происхождения:Китай;
(Характеристики товара (Детские товары))EAN:6921603285127;
(Характеристики товара (Детские товары))Количество:60 шт;
(Характеристики товара (Детские товары))Код товара:CB-00045767";"<br><p>Изготовлены из гипоаллергенных природных материалов. За счет пористой поверхности и углублений инновационного материала надежно удерживает влагу и предотвращает протекания, оставляя попку малыша сухой!</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:";;" ";"YOUR SUN";"/storage/photo/original/h/your-sun-podguzniki-m-5-10kg-60-sht.jpg";676;"NAN молочная смесь Optipro 1 с рождения 400 г;МОЕ СОЛНЫШКО пенка для купания С чередой 200 мл;BIO MIO пятновыводитель BIo-Stain Remover универсальный для стирки белья без запаха 750 мл";"LIBERO пеленки одноразовые 50x70 6 шт;СОЛНЦЕ И ЛУНА средство для купания 2-в-1 Супермен для мальчиков 200 мл;YOUR SUN подгузники M  (5-10кг) 60 шт"
"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1;620564;"ROYAL CANIN влажный корм  для кошек British Shorthair 85 г";"(Характеристики товара (Зоотовары))Тип товара:Консервы для кошек;
(Характеристики товара (Зоотовары))Бренд:ROYAL CANIN;
(Характеристики товара (Зоотовары))Серия:British Shorthair;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Порода:Британская короткошёрстная кошка;
(Характеристики товара (Зоотовары))Форма упаковки:Пауч;
(Характеристики товара (Зоотовары))Вес упаковки:85 г;
(Характеристики товара (Зоотовары))Страна происхождения:Австрия;
(Характеристики товара (Зоотовары))EAN:9003579001257;
(Характеристики товара (Зоотовары))Вес:85 г;
(Характеристики товара (Зоотовары))Код товара:CB-00022311";" ROYAL CANIN сухой корм British Shorthair для кошек Британской Короткошерстной породы старше 12 месяцев 85 г --><br>
<br> У британской короткошерстной кошки крепкое, массивное и мускулистое тело. Адаптированный уровень белка способствует поддержанию мышечной массы. Формула обогащена L-карнитином, участвующим в обмене жиров. Продукт способствует сохранению здоровья костей и суставов. Обогащено жирными кислотами Омега-3. Продукт обогащен таурином и жирными кислотами EPA и DHA. Крупные изогнутые крокеты специально предназначены для широких челюстей британских короткошерстных кошек. Уникальная форма крокет позволяет легко захватывать и тщательно разгрызать корм, способствуя поддержанию гигиены ротовой полости. </p>
<br>
<br>
Добавки в 1 кг: <br> Витамин A: 31000 ME, Витамин D3: 800 ME, Железо: 38 мг, Йод: 3,8 мг, Медь: 12 мг, Марганец: 50 мг, Цинк: 150 мг, Ceлeн: 0,08 мг, L-карнитин: 200 мг, Таурин: 2,6 г – Технологические добавки: Клиноптилолит осадочного происхождения: 10 г – Консерванты – Антиокислители. <br>
<br>
Содержание питательных веществ: <br> Белки: 34 % – Жиры: 19 % – Минеральные вещества: 6,1 % – Клетчатка пищевая: 5 % - В 1 кг: Жирные кислоты Омега 3: 7,4 г, в том числе жирные кислоты EPA/DHA: 3,5 г.<br>
<br>
<br>
Ингредиенты: <br> Изолят растительных белков, дегидратированные белки животного происхождения (птица), рис, пшеница, животные жиры, растительная клетчатка, гидролизат белков животного происхождения (вкусоароматические добавки), мука из зерновых культур, рыбий жир, соевое масло, минеральные вещества, дрожжи и побочные продукты брожения, фруктоолигосахариды, гидролизат дрожжей (источник мaннановых олигосахаридов), масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина), гидролизат из панциря ракообразных (источник глюкозамина), гидролизат из хряща (источник хондроитина). <br>
<br>";61;76;"ROYAL CANIN";"/storage/photo/original/h/royal-canin-vlazhnij-korm-dlya-koshek-british-shorthair-85-g.jpg";;"PI-PI-BENT наполнитель для кошачьего туалета Комкующийся 15 кг;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;ЧИСТЮЛЯ Легкая салфетки для уборки Шерсть и Волосы из микрофибры для пола  1 шт";"УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см;DREAMIES лакомство для кошек с говядиной 30 г;ROYAL CANIN влажный корм  для кошек British Shorthair 85 г"
"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1;620565;"WHISKAS подушечки с паштетом для кошек старше 7 лет Ассорти с мясом птицы  350 г";"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Бренд:WHISKAS;
(Характеристики товара (Зоотовары))Серия:Вкусные подушечки;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Пожилые;
(Характеристики товара (Зоотовары))Форма упаковки:Коробка;
(Характеристики товара (Зоотовары))Вес упаковки:350 г;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4607065003210;
(Характеристики товара (Зоотовары))Вес:350 г;
(Характеристики товара (Зоотовары))Код товара:CB-00024715";" Whiskas подушечки с паштетом для кошек старше 7 лет Ассорти с мясом птицы 350 г  -->
<br>
<br> Это вкусное блюдо, приготовленное с учетом потребностей, свойственных возрасту Вашей любимицы. Хрустящие подушечки с нежным паштетом внутри обязательно придутся по вкусу Вашей любимице. Кроме того, корм Whiskas® содержит все необходимое, чтобы еда Вашей кошки была не только вкусной, но и полезной. </p>
<br>
<br>
Ингредиенты:  <br> Пшеничная мука, мука животного происхождения: мука из птицы (минимум 4% в коричневых гранулах), мука мясокостная; белковые растительные экстракты, рис, жир животный, подсолнечное масло, пивные дрожжи, витамины, минеральные вещества и таурин. <br>
<br>
ОСОБЕННОСТИ ПРОДУКТА:<br>
<li> Витамин Е для поддержания иммунитета
<li> Высокоусваиваемые ингредиенты для здорового пищеварения
<li> Таурин для здоровья сердца
<li> Жирные кислоты Омега-6 и цинк для здоровья кожи и шерсти
<li> Источник глюкозамина для здоровья суставов
<li> Специальная формула для хорошего аппетита
<li> Сбалансированный рацион для поддержания веса";85;106;"WHISKAS";"/storage/photo/original/h/whiskas-podushechki-s-pashtetom-dlya-koshek-starshe-7-let-assorti-s-myasom-ptici-350-g.jpg;
/storage/photo/original/h/whiskas-podushechki-s-pashtetom-dlya-koshek-starshe-7-let-assorti-s-myasom-ptici-350-g_93.jpg";;"УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см;БАРСИК наполнитель для кошачьего туалета Натуральный древесный 4,54 л;УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см";
"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1;620566;"PERFECT FIT сухой корм Adult  для взрослых кошек с курицей 650 г";"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Бренд:PERFECT FIT;
(Характеристики товара (Зоотовары))Серия:Adult;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:650 г;
(Характеристики товара (Зоотовары))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Зоотовары))EAN:4607065378028;
(Характеристики товара (Зоотовары))Вес:650 г;
(Характеристики товара (Зоотовары))Код товара:CB-00026401";"PERFECT FIT - это система профессионального питания, которая создана специально для поддержания здоровья кошек, чтобы они оставались активными, игривыми и получали максимум от каждого дня на протяжении всей жизни. Благодаря специальной формуле «5 слагаемых здоровья» PERFECT FIT заботится о важнейших составляющих хорошего самочувствия кошки и помогает ей всегда быть полной жизненных сил. В PERFECT FIT Adult учтены все потребности взрослых кошек, которым важно оставаться в тонусе. Особая комбинация белков, минералов и витаминов поддержит силу мышц и подарит кошке энергию для активного времяпрепровождения.<br>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<br>
<li> Здоровая кожа и шерсть
<li> Контроль веса
<li> Сильная естественная защита
<li> Здоровье зубов
<li> Здоровое пищеварение
<br>
Состав:  мука животного происхождения (в том числе курица 14%), мука из птицы, пшеница, белковый соевый концентрат, кукурузная мука, жир животный, белковый кукурузный концентрат, соевая мука, рис, гидролизат животного происхождения, дрожжи, соль, хлорид калия, подсолнечное масло, минеральные вещества и витамины.
<br>";201;251;"PERFECT FIT";"/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-vzroslih-koshek-s-kuricej-650-g.jpg;
/storage/photo/original/h/perfect-fit-suhoj-korm-adult-dlya-vzroslih-koshek-s-kuricej-650-g_96.jpg";;"VORTEX нейтрализатор запаха Block свежесть 500 мл;УЮТ игрушки для кошек Катушка пластиковая, с погремушкой 7x4 см;CATSAN наполнитель для кошачьего туалета Hygiene 10 л";
"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1;620567;"ROYAL CANIN сухой корм Norwegian Adult для кошек породы Норвежская лесная старше 12 месяцев  2 кг";"(Характеристики товара (Зоотовары))Тип товара:Сухой корм для кошек;
(Характеристики товара (Зоотовары))Бренд:ROYAL CANIN ;
(Характеристики товара (Зоотовары))Ветеринарные показания и специальные потребности:Забота о коже и шерсти;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Порода:Норвежская лесная кошка;
(Характеристики товара (Зоотовары))Форма упаковки:Пакет;
(Характеристики товара (Зоотовары))Вес упаковки:2 кг;
(Характеристики товара (Зоотовары))Страна происхождения:ПОЛЬША;
(Характеристики товара (Зоотовары))EAN:3182550825399;
(Характеристики товара (Зоотовары))Вес:2 кг;
(Характеристики товара (Зоотовары))Код товара:CB-00039647";"<p>
ROYAL CANIN Norwegian Forest Cat Adult - это полнорационный корм для кошек породы Норвежская Лесная в возрасте от 1 года до 12 лет. Кошки этой породы являются обладателями густой шерсти с жестким подшерстком. Корм разработан с учетом данной особенности, обогащен Омега-3 жирными кислотами и маслом бурачника. Оптимальный вес и здоровые суставов. Регулярное употребление корма нормализует пищеварение, позволяет избежать ожирения и повышенной нагрузки на кости и суставы. Пищевые волокна, содержащиеся в корме, препятствуют образованию комков шерсти в желудке. Крокеты имеют специальную форму, подходящую для челюстей Норвежской лесной. </p>
<br>
Особенности Продукта:
<br>
<li>
Сухой корм для кошек старше года
<li>
Для Норвежской лесной породы
<li>
Поддерживает здоровье шерсти и препятствует образованию избыточного веса
<br>
Ингредиенты:
Белок домашней птицы (высушенный), кукуруза, пшеница, изолят растительных белков, животный жир, кукурузный глютен, рис, лигноцеллюлоза, животный белок (гидролизированный), пшеничный глютен, минеральные вещества, волокна цикория, рыбий жир, соевое масло, псилий (семена и оболочки подорожника блошного), фрукто-олигосахаридов, гидролиз дрожжей (источник маннан-олигосахариды), масло огуречника (0,1%), гидролиз ракообразных (источник глюкозамина), экстракт календулы (источник лютеина), гидролизованные хрящей (источник хондроитина).
<br>";1478;1848;;"/storage/photo/original/h/royal-canin-suhoj-korm-norwegian-adult-dlya-koshek-porodi-norvezhskaya-lesnaya-starshe-12-mesyacev-2-kg.jpg";;"УЮТ игрушки для кошек Дразнилка Катушка сизаль 40 см;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;БАРСИК наполнитель для кошачьего туалета Натуральный древесный 4,54 л";"SYMPHONY очиститель воздуха От запахов животных 300 мл;DREAMIES лакомство для кошек с курицей 30 г;ROYAL CANIN сухой корм Norwegian Adult для кошек породы Норвежская лесная старше 12 месяцев  2 кг"
"Зоотовары/Товары для кошек/Корма для кошек";"Зоотовары/Товары для кошек/Корма для кошек";1;620568;"ROYAL CANIN  VET DIET сухой корм Sensible 33 для кошек с чувствительной пищеварительной системой 2 кг + влажный корм 2х85 г";"(Характеристики товара (Зоотовары))Тип товара:Сухой корм;
(Характеристики товара (Зоотовары))Бренд:ROYAL CANIN VET DIET;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4627150232141;
(Характеристики товара (Зоотовары))Вес:2х85 г;
(Характеристики товара (Зоотовары))Код товара:CB-00046242";"<p>
ROYAL CANIN VET DIET влажный корм Sensible 33 для кошек с чувствительной пищеварительной системой в возрасте с 1 года до 7 лет. Разработан для поддержания здоровья мочевыделительной системы кошек. Три разных формы крокет и тщательно подобранный ароматический профиль для стимулирования аппетита кошек с чувствительным пищеварением. У некоторых кошек чувствительность пищеварительной системы приводит к появлению жидкого стула. SENSIBLE 33 содержит уникальную комбинацию питательных веществ для обеспечения оптимальной работы пищеварения (L.I.P.*) и пребиотики для поддержания баланса кишечной микрофлоры.
</p>
<br>
Особенности Продукта:
<br>
<li>
Сухой корм для кошек </li>
<li>
Здоровье пищеварительной системы </li>
<li>
Высокая вкусовая привлекательность </li>
<li>
Концентрированная энергия </li>
<li>
Поддержание здоровья мочевыделительной системы </li>
<br>
Ингредиенты:
Животные жиры, рис, дегидратированные белки животного происхождения (птица), пшеница, дегидратированные белки животного происхождения (свинина), изолят растительных белков*, мука из зерновых культур, гидролизат белков животного происхождения (вкусоароматические добавки), минеральные вещества, растительная клетчатка, дрожжи и побочные продукты брожения, рыбий жир, соевое масло, фруктоолигосахариды. <br>
Добавки в 1 кг:
Питательные добавки: Витамин A: 18500 ME, Витамин D3: 1000 ME, Железо: 37 мг, Йод: 3,7 мг, Марганец: 48 мг, Цинк: 145 мг, Ceлeн: 0,09 мг – Технологические добавки: Бисульфат натрия: 10 г, Клиноптилолит осадочного происхождения: 5 г – Консерванты – Антиокислители. <br>
Содержание питательных веществ на 100 г:
Белки: 33 % - Жиры: 22 % - Минеральные вещества: 7,4 % - Клетчатка общая: 1,6 % - Безазотистые экстрактивные вещества: 30,5 %.";1232;1540;"ROYAL CANIN VET DIET";"/storage/photo/original/h/royal-canin-vet-diet-suhoj-korm-sensible-33-dlya-koshek-s-chuvstvitelnoj-pishevaritelnoj-sistemoj-2-kg-vlazhnij-korm-2h85-g.jpg";;"УЮТ игрушки для кошек Катушка пластиковая, с погремушкой 7x4 см;УЮТ игрушки для кошек Дразнилка Перья зелено-оранжевые 40 см;БАРСИК наполнитель для кошачьего туалета Mix - Древесный 4,5 л";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;SYMPHONY очиститель воздуха От запахов животных 300 мл;ROYAL CANIN  VET DIET сухой корм Sensible 33 для кошек с чувствительной пищеварительной системой 2 кг + влажный корм 2х85 г"
"Зоотовары/Товары для кошек/Наполнители для туалета";"Зоотовары/Товары для кошек/Наполнители для туалета";1;620569;"БАРСИК наполнитель для кошачьего туалета Кукурузный  4,5 л";"(Характеристики товара (Зоотовары))Тип товара:Наполнитель гигиенический;
(Характеристики товара (Зоотовары))Бренд:БАРСИК;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4605427241201;
(Характеристики товара (Зоотовары))Объем:4.5 л;
(Характеристики товара (Зоотовары))Код товара:CB-00042762";"<p>
Гигиенический наполнитель для кошачьего туалета Барсик растительного происхождения, созданный из кукурузных волокон, обработанных и спресованных по специальной технологии. Без содержания искусственных добавок. Наполнитель Барсик – великолепный продукт из природных компонентов, удивительные свойства которых – впитывать и удерживать влагу, а также поглощать запахи. Еще одним достоинством данного наполнителя является возможность смывания его в унитаз, что категорически запрещено делать в случае использования силикагелевых наполнителей для кошачьих туалетов. </p>
<br>
Особенности Продукта:
<br>
<li>
Эффективно впитывает влагу
<li>
Надежно удерживает неприятный запах
<li>
Препятствует появлению бактерий
<li>
Экономичен в использовании
<li>
Удобен в использовании, не требует полной замены содержимого лотка
<li>
Не прилипает к шерстке и лапам кошки
<li>
Безопасен при случайном попадании внутрь организма животного
<br>";87;109;"БАРСИК";"/storage/photo/original/h/barsik-napolnitel-dlya-koshachego-tualeta-kukuruznij-45-l.jpg";111;"N1 наполнитель для кошачьего туалета Crystals 12,5 л;DREAMIES лакомство для кошек с сыром 60 г;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см";"БАРСИК поглотитель запаха и пятен для кошек 500 мл;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;БАРСИК наполнитель для кошачьего туалета Кукурузный  4,5 л"
"Зоотовары/Товары для собак/Аксессуары для собак";"Зоотовары/Товары для собак/Аксессуары для собак";1;620570;"N1 игрушка для собак Мини-гусь с пищалкой  14 см";"(Характеристики товара (Зоотовары))Тип товара:Игрушки для собак;
(Характеристики товара (Зоотовары))Бренд:N1;
(Характеристики товара (Зоотовары))Страна происхождения:Китай;
(Характеристики товара (Зоотовары))EAN:4605427243618;
(Характеристики товара (Зоотовары))Количество:1 шт;
(Характеристики товара (Зоотовары))Код товара:CB-00047922";"<p>
Игрушка N1 Мини-гусь принадлежит категории вещей, которые необходимы для правильного развития щенка с 2,5-3 месяцев. Именно в этот период происходит смена зубов и появляется склонность постоянно что-то погрызть. Поэтому игрушка N1 Мини-гусь поможет сберечь ваши предметы интерьера, возможно обувь и одежду от повреждений. Ведь склонность грызть связана не только со сменой зубов, но и с природной особенностью собак. Игрушка N1 выполнена из латекса высокого качества. Игрушка оснащена пищалкой, благодаря которой собака с радостью ее хватает и подбрасывает. Заводчик должен помнить, что совместные игры с питомцем отличный способ наладить взаимоотношение между щенком и хозяином. </p>
<br>
Особенности Продукта:
<br>
<li>
Изготовлена из качественных материалов
<li>
Рекомендована к применению с 2 месяцев
<li>
Размер 15 х 5 х 5 см
<li>
Одобрена ветеринарами
<br>";141;176;"N1";"/storage/photo/original/h/n1-igrushka-dlya-sobak-mini-gus-s-pishalkoj-14-sm.png";;"NATURES TABLE сухой корм для собак Индейка с Овощами 2,3 кг;PEDIGREE лакомство Denta Stix для собак крупных пород 270 г;CESAR влажный корм для собак из курицы с овощами 100 г";"PEDIGREE лакомство Denta Stix для собак малых пород 110 г;ROYAL CANIN сухой корм для пожилых собак X-Small Adult 500 г;N1 игрушка для собак Мини-гусь с пищалкой  14 см"
