"";"Цена_Зачеркнутая";"Цена_Трансазия";"Цена_Розничная";"Цена_Трансазия_от 3 шт.";"Минимальное количество"
"460278";"";"69";"86";"";"1"
"430488";"";"100";"125";"";"1"
"430493";"";"140";"175";"";"1"
"430495";"";"238";"298";"";"1"
"430490";"";"140";"175";"";"1"
"460448";"";"247";"309";"";"1"
"460449";"";"240";"300";"";"1"
"460282";"";"100";"125";"";"1"
"430487";"";"100";"125";"";"1"
"430492";"";"238";"298";"";"1"
"430500";"";"827";"1034";"802";"1"
"430465";"";"287";"359";"";"1"
"430459";"";"180";"225";"";"1"
"430448";"239";"195";"244";"";"1"
"460450";"";"240";"300";"";"1"
"460412";"";"104";"130";"";"1"
"430480";"";"198";"248";"";"1"
"430506";"149";"139";"174";"";"1"
"430445";"285";"246";"308";"";"1"
"430507";"191";"156";"195";"";"1"
"430444";"322";"274";"342";"";"1"
"460413";"";"132";"165";"";"1"
"430446";"288";"246";"308";"";"1"
"430447";"395";"337";"421";"";"1"
"460408";"";"260";"325";"";"1"
"430452";"";"153";"191";"";"1"
"460410";"";"260";"325";"";"1"
"430451";"";"153";"191";"";"1"
"460407";"";"356";"445";"";"1"
"430455";"";"260";"325";"";"1"
"460409";"";"260";"325";"";"1"
"430521";"";"153";"191";"";"1"
"430454";"";"153";"191";"";"1"
"430520";"";"260";"325";"";"1"
"460423";"";"356";"445";"";"1"
"460421";"";"356";"445";"";"1"
"430456";"";"153";"191";"";"1"
"460411";"";"153";"191";"";"1"
"430460";"";"46";"58";"";"1"
"430522";"";"260";"325";"";"1"
"430458";"";"286";"358";"";"1"
"430468";"";"159";"199";"";"1"
"430461";"";"58";"72";"";"1"
"460422";"";"356";"445";"";"1"
"430475";"";"159";"199";"";"1"
"430470";"";"159";"199";"";"1"
"430474";"";"159";"199";"";"1"
"430472";"";"159";"199";"";"1"
"430457";"";"286";"358";"";"1"
"430471";"";"124";"155";"";"1"
"430476";"";"159";"199";"";"1"
"430514";"";"196";"245";"";"1"
"430513";"";"179";"224";"";"1"
"430511";"580";"459";"574";"";"1"
"430306";"";"140";"175";"";"1"
"430477";"";"124";"155";"";"1"
"430512";"";"137";"171";"";"1"
"430503";"";"167";"209";"";"1"
"430316";"";"83";"104";"";"1"
"430508";"";"82";"102";"";"1"
"430313";"";"114";"142";"";"1"
"430317";"";"53";"66";"";"1"
"430318";"";"115";"144";"";"1"
"430310";"90";"78";"98";"";"1"
"430305";"";"30";"38";"";"1"
"430304";"";"28";"35";"";"1"
"460392";"";"83";"104";"";"1"
"430311";"510";"436";"545";"";"1"
"430309";"";"27";"34";"";"1"
"430308";"";"190";"238";"";"1"
"430307";"";"128";"160";"";"1"
"430312";"";"61";"76";"";"1"
"430319";"";"138";"172";"";"1"
"430314";"";"230";"288";"";"1"
"460274";"";"153";"191";"";"1"
"430324";"";"129";"161";"";"1"
"430327";"";"129";"161";"";"1"
"460406";"";"77";"96";"";"1"
"430328";"";"79";"99";"";"1"
"430326";"360";"307";"384";"";"1"
"430325";"327";"278";"348";"";"1"
"430333";"";"93";"116";"";"1"
"430339";"45";"25";"31";"";"1"
"430320";"";"127";"159";"";"1"
"430350";"172";"129";"161";"";"1"
"430340";"47";"30";"38";"";"1"
"430335";"";"162";"202";"";"1"
"430356";"172";"129";"161";"";"1"
"430355";"172";"129";"161";"";"1"
"430349";"98";"73";"91";"";"1"
"430351";"98";"73";"91";"";"1"
"430354";"172";"129";"161";"";"1"
"430353";"172";"129";"161";"";"1"
"430377";"199";"149";"186";"";"1"
"430374";"199";"149";"186";"";"1"
"460276";"";"114";"142";"";"1"
"430378";"199";"149";"186";"";"1"
"430382";"";"114";"142";"";"1"
"430380";"199";"149";"186";"";"1"
"430385";"";"249";"311";"";"1"
"460277";"";"114";"142";"";"1"
"460393";"";"114";"142";"";"1"
"430384";"";"114";"142";"";"1"
"430379";"199";"149";"186";"";"1"
"430343";"";"52";"65";"";"1"
"430337";"";"238";"298";"";"1"
"430342";"";"250";"312";"";"1"
"430338";"335";"285";"356";"";"1"
"430348";"";"53";"66";"";"1"
"430347";"";"52";"65";"";"1"
"460394";"";"323";"404";"";"1"
"430341";"";"46";"58";"";"1"
"430336";"387";"329";"411";"";"1"
"430346";"";"30";"38";"";"1"
"430344";"";"30";"38";"";"1"
"460396";"";"97";"121";"";"1"
"430345";"";"30";"38";"";"1"
"430361";"";"159";"199";"";"1"
"430367";"";"54";"68";"";"1"
"430363";"";"159";"199";"";"1"
"430364";"";"159";"199";"";"1"
"460395";"";"97";"121";"";"1"
"430368";"";"54";"68";"";"1"
"430366";"";"46";"58";"";"1"
"460397";"";"97";"121";"";"1"
"430370";"";"54";"68";"";"1"
"430372";"";"54";"68";"";"1"
"430369";"";"46";"58";"";"1"
"430387";"";"410";"512";"";"1"
"430389";"";"513";"641";"";"1"
"460443";"";"112";"140";"";"1"
"430391";"";"167";"209";"";"1"
"430392";"";"167";"209";"";"1"
"430395";"";"74";"92";"";"1"
"430393";"";"167";"209";"";"1"
"430396";"";"54";"68";"";"1"
"430388";"";"369";"461";"";"1"
"430398";"";"68";"85";"";"1"
"430399";"";"68";"85";"";"1"
"460400";"";"37";"46";"";"1"
"430400";"";"68";"85";"";"1"
"430397";"";"54";"68";"";"1"
"430405";"";"89";"111";"";"1"
"430404";"";"89";"111";"";"1"
"460398";"";"86";"108";"";"1"
"430401";"";"68";"85";"";"1"
"460399";"";"68";"85";"";"1"
"430402";"";"68";"85";"";"1"
"430406";"";"89";"111";"";"1"
"430407";"";"97";"121";"";"1"
"430409";"";"160";"200";"";"1"
"430410";"";"179";"224";"";"1"
"430411";"";"198";"248";"";"1"
"460206";"";"148";"185";"";"1"
"460208";"";"55";"69";"";"1"
"460204";"";"56";"70";"";"1"
"460210";"";"70";"88";"";"1"
"460211";"";"48";"60";"";"1"
"430413";"";"110";"138";"";"1"
"460251";"";"126";"158";"";"1"
"460203";"";"92";"115";"";"1"
"460207";"";"53";"66";"";"1"
"460212";"";"48";"60";"";"1"
"460213";"";"115";"144";"";"1"
"460214";"";"202";"252";"";"1"
"460209";"";"70";"88";"";"1"
"460216";"";"57";"71";"";"1"
"460319";"";"98";"122";"";"1"
"460218";"";"195";"244";"";"1"
"460215";"";"15";"19";"";"1"
"460222";"";"12";"15";"";"1"
"460221";"";"63";"79";"";"1"
"460228";"";"214";"268";"";"1"
"460219";"";"81";"101";"";"1"
"460226";"";"228";"285";"";"1"
"460320";"";"166";"208";"";"1"
"460230";"";"225";"281";"";"1"
"460220";"";"21";"26";"";"1"
"460227";"";"265";"331";"";"1"
"460231";"";"77";"96";"";"1"
"460232";"";"127";"159";"";"1"
"460439";"";"118";"148";"";"1"
"460233";"";"53";"66";"";"1"
"460224";"";"60";"75";"";"1"
"460108";"";"269";"336";"";"1"
"460437";"";"147";"184";"";"1"
"460225";"";"47";"59";"";"1"
"460110";"";"293";"366";"";"1"
"460104";"";"236";"295";"";"1"
"460109";"";"136";"170";"";"1"
"460116";"";"220";"275";"";"1"
"460111";"";"269";"336";"";"1"
"460130";"";"281";"351";"";"1"
"460112";"";"236";"295";"";"1"
"460115";"";"220";"275";"";"1"
"460106";"";"138";"172";"";"1"
"460120";"";"150";"188";"";"1"
"460131";"";"80";"100";"";"1"
"460127";"";"260";"325";"";"1"
"460128";"";"113";"141";"";"1"
"460149";"";"133";"166";"";"1"
"460123";"";"25";"31";"";"1"
"460159";"";"133";"166";"";"1"
"460160";"";"94";"118";"";"1"
"460125";"";"205";"256";"";"1"
"460153";"";"23";"29";"";"1"
"460166";"";"76";"95";"";"1"
"460168";"";"96";"120";"";"1"
"460143";"";"185";"231";"";"1"
"460138";"";"206";"258";"";"1"
"460316";"";"120";"150";"";"1"
"460141";"";"139";"174";"";"1"
"460146";"";"103";"129";"";"1"
"460144";"";"183";"229";"";"1"
"460148";"";"157";"196";"";"1"
"460154";"";"33";"41";"";"1"
"460155";"";"56";"70";"";"1"
"460162";"";"137";"171";"";"1"
"460167";"";"144";"180";"";"1"
"460178";"";"25";"31";"";"1"
"460163";"";"151";"189";"";"1"
"460161";"";"138";"172";"";"1"
"460175";"";"130";"162";"";"1"
"460318";"";"21";"26";"";"1"
"460170";"";"123";"154";"";"1"
"460317";"";"53";"66";"";"1"
"460183";"";"66";"82";"";"1"
"460186";"";"390";"488";"";"1"
"460190";"";"64";"80";"";"1"
"460192";"";"52";"65";"";"1"
"460188";"";"211";"264";"";"1"
"460181";"";"171";"214";"";"1"
"460195";"";"220";"275";"";"1"
"460193";"";"87";"109";"";"1"
"460184";"";"283";"354";"";"1"
"460199";"";"181";"226";"";"1"
"460196";"";"180";"225";"";"1"
"460194";"";"141";"176";"";"1"
"460180";"";"95";"119";"";"1"
"460187";"";"320";"400";"";"1"
"460201";"";"67";"84";"";"1"
"460185";"";"212";"265";"";"1"
"460202";"";"82";"102";"";"1"
"430140";"";"475";"594";"";"1"
"430136";"";"130";"162";"";"1"
"430516";"182";"139";"174";"";"1"
"430138";"";"210";"262";"";"1"
"460291";"";"114";"142";"";"1"
"430141";"";"64";"80";"";"1"
"430144";"";"98";"122";"";"1"
"430139";"";"210";"262";"";"1"
"430145";"98";"77";"96";"";"1"
"460292";"";"108";"135";"";"1"
"430142";"";"64";"80";"";"1"
"430148";"";"54";"68";"";"1"
"430515";"239";"195";"244";"";"1"
"430110";"";"218";"272";"";"1"
"430109";"";"218";"272";"";"1"
"430111";"";"218";"272";"";"1"
"430104";"";"290";"362";"";"1"
"460288";"";"141";"176";"";"1"
"460287";"";"145";"181";"";"1"
"430100";"275";"234";"292";"";"1"
"430101";"400";"342";"428";"";"1"
"430107";"";"1128";"1410";"1094";"1"
"430106";"";"784";"980";"760";"1"
"430102";"";"219";"274";"";"1"
"430105";"";"79";"99";"";"1"
"460239";"";"277";"346";"";"1"
"460238";"";"1262";"1578";"1224";"1"
"460237";"";"131";"164";"";"1"
"430113";"";"195";"244";"";"1"
"430114";"";"84";"105";"";"1"
"430116";"";"84";"105";"";"1"
"430115";"";"152";"190";"";"1"
"460286";"";"84";"105";"";"1"
"430118";"";"152";"190";"";"1"
"430117";"";"131";"164";"";"1"
"430121";"";"224";"280";"";"1"
"430124";"";"152";"190";"";"1"
"430127";"";"131";"164";"";"1"
"460284";"";"131";"164";"";"1"
"430126";"";"84";"105";"";"1"
"430131";"";"152";"190";"";"1"
"460289";"";"84";"105";"";"1"
"430128";"";"152";"190";"";"1"
"430130";"";"152";"190";"";"1"
"430132";"";"152";"190";"";"1"
"460290";"";"84";"105";"";"1"
"460236";"";"561";"701";"";"1"
"460285";"";"131";"164";"";"1"
"430134";"";"188";"235";"";"1"
"430135";"";"174";"218";"";"1"
"430180";"";"157";"196";"";"1"
"430205";"";"70";"88";"";"1"
"460304";"";"92";"115";"";"1"
"460303";"";"157";"196";"";"1"
"430249";"156";"99";"124";"";"1"
"430179";"93";"60";"75";"";"1"
"430189";"158";"101";"126";"";"1"
"430187";"";"165";"206";"";"1"
"460298";"93";"60";"75";"";"1"
"430190";"93";"60";"75";"";"1"
"430188";"93";"60";"75";"";"1"
"430191";"158";"101";"126";"";"1"
"430192";"";"165";"206";"";"1"
"460300";"158";"101";"126";"";"1"
"460301";"48";"34";"42";"";"1"
"430196";"";"85";"106";"";"1"
"430194";"85";"60";"75";"";"1"
"430195";"48";"34";"42";"";"1"
"430193";"";"48";"60";"";"1"
"460302";"";"85";"106";"";"1"
"430200";"";"48";"60";"";"1"
"430201";"85";"60";"75";"";"1"
"430202";"";"48";"60";"";"1"
"430206";"239";"168";"210";"";"1"
"430207";"266";"171";"214";"";"1"
"460299";"295";"189";"236";"";"1"
"430214";"";"724";"905";"702";"1"
"430210";"251";"159";"199";"";"1"
"430209";"315";"199";"249";"";"1"
"430225";"";"152";"190";"";"1"
"460297";"289";"182";"228";"";"1"
"430226";"";"152";"190";"";"1"
"460244";"";"107";"134";"";"1"
"430216";"";"107";"134";"";"1"
"430230";"";"152";"190";"";"1"
"430227";"";"579";"724";"";"1"
"430218";"153";"119";"149";"";"1"
"430217";"90";"68";"85";"";"1"
"430220";"126";"107";"134";"";"1"
"430219";"90";"68";"85";"";"1"
"430222";"90";"68";"85";"";"1"
"430231";"90";"68";"85";"";"1"
"460240";"126";"107";"134";"";"1"
"430233";"126";"107";"134";"";"1"
"430229";"";"152";"190";"";"1"
"430223";"126";"107";"134";"";"1"
"430234";"153";"119";"149";"";"1"
"430235";"90";"68";"85";"";"1"
"430238";"";"93";"116";"";"1"
"430239";"";"93";"116";"";"1"
"430237";"153";"119";"149";"";"1"
"430245";"";"43";"54";"";"1"
"430241";"44";"35";"44";"";"1"
"430236";"126";"107";"134";"";"1"
"430252";"91";"77";"96";"";"1"
"430254";"49";"42";"52";"";"1"
"430240";"";"43";"54";"";"1"
"460307";"49";"42";"52";"";"1"
"430255";"91";"77";"96";"";"1"
"430258";"91";"77";"96";"";"1"
"460306";"49";"42";"52";"";"1"
"430261";"";"50";"62";"";"1"
"430262";"";"50";"62";"";"1"
"460305";"49";"42";"52";"";"1"
"430269";"";"153";"191";"";"1"
"430264";"";"153";"191";"";"1"
"430265";"";"85";"106";"";"1"
"430268";"";"85";"106";"";"1"
"430271";"50";"33";"41";"";"1"
"430273";"50";"33";"41";"";"1"
"430270";"93";"60";"75";"";"1"
"430274";"93";"60";"75";"";"1"
"430272";"93";"60";"75";"";"1"
"430279";"50";"33";"41";"";"1"
"430275";"50";"33";"41";"";"1"
"430281";"50";"33";"41";"";"1"
"430282";"93";"60";"75";"";"1"
"430280";"93";"60";"75";"";"1"
"430243";"";"43";"54";"";"1"
"430278";"93";"60";"75";"";"1"
"430276";"50";"33";"41";"";"1"
"430284";"";"223";"279";"";"1"
"430242";"";"77";"96";"";"1"
"430244";"";"77";"96";"";"1"
"430181";"";"157";"196";"";"1"
"430285";"";"124";"155";"";"1"
"430163";"";"427";"534";"";"1"
"430166";"";"427";"534";"";"1"
"430172";"";"1022";"1278";"991";"1"
"430170";"";"325";"406";"";"1"
"460425";"";"501";"626";"";"1"
"430149";"550";"453";"566";"";"1"
"460426";"1564";"1016";"1270";"986";"1"
"430154";"973";"632";"790";"613";"1"
"460424";"";"276";"345";"";"1"
"460427";"1564";"1016";"1270";"986";"1"
"430153";"773";"502";"628";"";"1"
"430155";"1268";"824";"1030";"799";"1"
"430158";"547";"355";"444";"";"1"
"430159";"773";"502";"628";"";"1"
"430160";"1268";"824";"1030";"799";"1"
"460293";"973";"632";"790";"613";"1"
"430174";"";"210";"262";"";"1"
"460294";"";"677";"846";"657";"1"
"450121";"";"307";"384";"";"1"
"460295";"";"140";"175";"";"1"
"450109";"";"140";"175";"";"1"
"450108";"";"307";"384";"";"1"
"430175";"";"330";"412";"";"1"
"460433";"";"62";"78";"";"1"
"460432";"";"231";"289";"";"1"
"460431";"";"62";"78";"";"1"
"450117";"";"140";"175";"";"1"
"460428";"";"62";"78";"";"1"
"450106";"";"62";"78";"";"1"
"460429";"";"62";"78";"";"1"
"450111";"";"79";"99";"";"1"
"450120";"";"79";"99";"";"1"
"450114";"";"79";"99";"";"1"
"450118";"";"79";"99";"";"1"
"450119";"";"197";"246";"";"1"
"460430";"";"197";"246";"";"1"
"460309";"";"142";"178";"";"1"
"450130";"";"142";"178";"";"1"
"460434";"";"142";"178";"";"1"
"450131";"";"103";"129";"";"1"
"460436";"";"103";"129";"";"1"
"450129";"";"103";"129";"";"1"
"450132";"";"103";"129";"";"1"
"450128";"";"180";"225";"";"1"
"450104";"";"175";"219";"";"1"
"460435";"";"180";"225";"";"1"
"450101";"";"112";"140";"";"1"
"460308";"";"175";"219";"";"1"
"450105";"";"142";"178";"";"1"
"450102";"";"175";"219";"";"1"
"450103";"";"175";"219";"";"1"
"450158";"";"172";"215";"";"1"
"450150";"";"194";"242";"";"1"
"450156";"";"172";"215";"";"1"
"450159";"";"114";"142";"";"1"
"450148";"";"628";"785";"609";"1"
"450157";"";"172";"215";"";"1"
"450172";"";"91";"114";"";"1"
"450123";"";"97";"121";"";"1"
"450149";"";"628";"785";"609";"1"
"450176";"";"151";"189";"";"1"
"450178";"";"151";"189";"";"1"
"450179";"";"151";"189";"";"1"
"450146";"";"205";"256";"";"1"
"450173";"";"65";"81";"";"1"
"450174";"";"51";"64";"";"1"
"450161";"";"49";"61";"";"1"
"450177";"";"151";"189";"";"1"
"450164";"";"49";"61";"";"1"
"450152";"";"169";"211";"";"1"
"450175";"";"51";"64";"";"1"
"450145";"";"152";"190";"";"1"
"450147";"";"79";"99";"";"1"
"450162";"";"49";"61";"";"1"
"450151";"";"628";"785";"609";"1"
"460310";"";"65";"81";"";"1"
"450165";"";"89";"111";"";"1"
"440101";"";"46";"58";"";"1"
"450166";"";"40";"50";"";"1"
"450167";"";"40";"50";"";"1"
"460311";"";"151";"189";"";"1"
"460312";"";"49";"61";"";"1"
"450168";"";"40";"50";"";"1"
"450171";"";"191";"239";"";"1"
"450163";"";"49";"61";"";"1"
"450170";"";"40";"50";"";"1"
"440107";"";"176";"220";"";"1"
"440100";"";"89";"111";"";"1"
"440106";"";"169";"211";"";"1"
"440109";"";"142";"178";"";"1"
"440113";"";"56";"70";"";"1"
"460389";"";"676";"845";"656";"1"
"440105";"";"156";"195";"";"1"
"440108";"";"108";"135";"";"1"
"440103";"";"156";"195";"";"1"
"440104";"";"156";"195";"";"1"
"440114";"";"65";"81";"";"1"
"460390";"";"79";"99";"";"1"
"440134";"";"254";"318";"";"1"
"440112";"";"65";"81";"";"1"
"440135";"";"240";"300";"";"1"
"440111";"290";"205";"256";"";"1"
"440133";"";"172";"215";"";"1"
"440143";"";"210";"262";"";"1"
"440118";"";"125";"156";"";"1"
"440132";"";"240";"300";"";"1"
"440115";"";"79";"99";"";"1"
"440119";"";"223";"279";"";"1"
"440131";"";"301";"376";"";"1"
"440121";"";"107";"134";"";"1"
"440136";"";"226";"282";"";"1"
"440128";"";"47";"59";"";"1"
"440130";"";"211";"264";"";"1"
"440142";"";"116";"145";"";"1"
"440122";"";"136";"170";"";"1"
"440127";"";"48";"60";"";"1"
"440120";"";"136";"170";"";"1"
"440126";"";"48";"60";"";"1"
"440144";"";"210";"262";"";"1"
"440123";"";"35";"44";"";"1"
"440125";"";"29";"36";"";"1"
"440124";"";"35";"44";"";"1"
"440129";"";"188";"235";"";"1"
"440141";"";"138";"172";"";"1"
"440138";"";"46";"58";"";"1"
"440137";"";"138";"172";"";"1"
"440139";"";"86";"108";"";"1"
"440140";"";"86";"108";"";"1"
"440145";"";"55";"69";"";"1"
"440147";"";"240";"300";"";"1"
"440148";"";"177";"221";"";"1"
"440146";"";"195";"244";"";"1"
"440149";"";"118";"148";"";"1"
"440150";"";"82";"102";"";"1"
"440152";"";"210";"262";"";"1"
"410523";"";"113";"141";"";"1"
"440151";"";"82";"102";"";"1"
"410526";"";"35";"44";"";"1"
"410524";"";"35";"44";"";"1"
"410525";"";"35";"44";"";"1"
"410527";"";"35";"44";"";"1"
"410528";"";"64";"80";"";"1"
"410529";"";"10";"12";"";"1"
"410540";"";"13";"16";"";"1"
"410542";"";"17";"21";"";"1"
"410101";"385";"276";"345";"";"1"
"410125";"311";"239";"299";"";"1"
"460329";"184";"130";"162";"";"1"
"410106";"";"203";"254";"";"1"
"410107";"";"203";"254";"";"1"
"460334";"";"203";"254";"";"1"
"410105";"";"114";"142";"";"1"
"410146";"479";"375";"469";"";"1"
"410108";"";"114";"142";"";"1"
"410102";"";"385";"481";"";"1"
"410109";"";"136";"170";"";"1"
"460327";"184";"130";"162";"";"1"
"410110";"";"136";"170";"";"1"
"410134";"311";"239";"299";"";"1"
"460330";"184";"130";"162";"";"1"
"460328";"184";"130";"162";"";"1"
"410136";"311";"239";"299";"";"1"
"410129";"184";"130";"162";"";"1"
"410139";"197";"155";"194";"";"1"
"410121";"184";"130";"162";"";"1"
"410132";"311";"239";"299";"";"1"
"410140";"342";"307";"384";"";"1"
"410138";"100";"76";"95";"";"1"
"410111";"184";"130";"162";"";"1"
"410112";"311";"239";"299";"";"1"
"410114";"311";"239";"299";"";"1"
"460326";"184";"130";"162";"";"1"
"460322";"184";"130";"162";"";"1"
"410119";"311";"239";"299";"";"1"
"410116";"184";"130";"162";"";"1"
"410128";"311";"239";"299";"";"1"
"410117";"311";"239";"299";"";"1"
"460324";"184";"130";"162";"";"1"
"410122";"311";"239";"299";"";"1"
"410130";"311";"239";"299";"";"1"
"460325";"184";"130";"162";"";"1"
"460323";"98";"77";"96";"";"1"
"410144";"145";"114";"142";"";"1"
"410148";"";"145";"181";"";"1"
"460333";"";"343";"429";"";"1"
"410145";"";"145";"181";"";"1"
"410150";"";"203";"254";"";"1"
"460254";"";"343";"429";"";"1"
"410156";"";"203";"254";"";"1"
"460332";"";"203";"254";"";"1"
"410154";"";"203";"254";"";"1"
"410151";"";"343";"429";"";"1"
"410153";"";"343";"429";"";"1"
"460340";"";"203";"254";"";"1"
"460337";"";"203";"254";"";"1"
"460336";"";"203";"254";"";"1"
"410164";"";"343";"429";"";"1"
"460338";"";"203";"254";"";"1"
"460339";"";"203";"254";"";"1"
"410161";"";"343";"429";"";"1"
"460335";"";"203";"254";"";"1"
"460331";"";"203";"254";"";"1"
"410177";"";"26";"32";"";"1"
"410188";"96";"74";"92";"";"1"
"410158";"";"203";"254";"";"1"
"460255";"";"343";"429";"";"1"
"410190";"";"30";"38";"";"1"
"460259";"";"181";"226";"";"1"
"410180";"232";"191";"239";"";"1"
"410173";"";"118";"148";"";"1"
"410169";"";"55";"69";"";"1"
"410193";"";"26";"32";"";"1"
"460343";"";"25";"31";"";"1"
"410170";"";"131";"164";"";"1"
"410171";"";"55";"69";"";"1"
"460440";"";"81";"101";"";"1"
"460342";"";"25";"31";"";"1"
"410172";"";"131";"164";"";"1"
"410174";"";"37";"46";"";"1"
"460341";"";"84";"105";"";"1"
"410176";"";"39";"49";"";"1"
"410175";"";"50";"62";"";"1"
"460257";"";"165";"206";"";"1"
"410182";"";"141";"176";"";"1"
"460344";"";"23";"29";"";"1"
"410179";"346";"294";"368";"";"1"
"410183";"";"141";"176";"";"1"
"410184";"";"146";"182";"";"1"
"460388";"";"110";"138";"";"1"
"410187";"";"67";"84";"";"1"
"410181";"";"146";"182";"";"1"
"410186";"";"31";"39";"";"1"
"410195";"";"93";"116";"";"1"
"460359";"";"83";"104";"";"1"
"410194";"";"93";"116";"";"1"
"410520";"494";"395";"494";"";"1"
"410274";"63";"36";"45";"";"1"
"460361";"85";"49";"61";"";"1"
"460369";"45";"31";"39";"";"1"
"460360";"85";"49";"61";"";"1"
"460366";"45";"31";"39";"";"1"
"460363";"";"47";"59";"";"1"
"410494";"";"515";"644";"";"1"
"410447";"";"315";"394";"";"1"
"460367";"45";"31";"39";"";"1"
"410448";"47";"31";"39";"";"1"
"460365";"47";"31";"39";"";"1"
"410444";"";"223";"279";"";"1"
"410443";"";"223";"279";"";"1"
"410445";"";"294";"368";"";"1"
"410265";"";"624";"780";"605";"1"
"410438";"";"570";"712";"";"1"
"410431";"";"2222";"2778";"2155";"1"
"410370";"";"64";"80";"";"1"
"410418";"";"840";"1050";"815";"1"
"460272";"";"570";"712";"";"1"
"460384";"";"35";"44";"";"1"
"410427";"";"570";"712";"";"1"
"410434";"";"570";"712";"";"1"
"410363";"";"447";"559";"";"1"
"410432";"";"570";"712";"";"1"
"410435";"";"840";"1050";"815";"1"
"410420";"";"840";"1050";"815";"1"
"410365";"";"403";"504";"";"1"
"410357";"";"403";"504";"";"1"
"460419";"";"403";"504";"";"1"
"460373";"";"403";"504";"";"1"
"410218";"485";"349";"436";"";"1"
"460345";"";"403";"504";"";"1"
"410273";"";"789";"986";"765";"1"
"410505";"321";"221";"276";"";"1"
"460372";"";"340";"425";"";"1"
"410215";"394";"283";"354";"";"1"
"410220";"964";"684";"855";"663";"1"
"410217";"394";"283";"354";"";"1"
"410224";"964";"684";"855";"663";"1"
"410219";"734";"521";"651";"";"1"
"410221";"394";"283";"354";"";"1"
"410227";"394";"283";"354";"";"1"
"410231";"";"199";"249";"";"1"
"410232";"964";"684";"855";"663";"1"
"410236";"";"199";"249";"";"1"
"410244";"286";"243";"304";"";"1"
"460348";"99";"84";"105";"";"1"
"410260";"90";"81";"101";"";"1"
"410235";"485";"349";"436";"";"1"
"410258";"90";"81";"101";"";"1"
"410259";"734";"521";"651";"";"1"
"410240";"964";"684";"855";"663";"1"
"410234";"288";"216";"270";"";"1"
"460442";"734";"521";"651";"";"1"
"410237";"288";"216";"270";"";"1"
"460358";"99";"84";"105";"";"1"
"410238";"485";"349";"436";"";"1"
"410239";"734";"521";"651";"";"1"
"410229";"288";"216";"270";"";"1"
"410242";"485";"349";"436";"";"1"
"410230";"485";"349";"436";"";"1"
"410243";"964";"684";"855";"663";"1"
"410211";"485";"349";"436";"";"1"
"410208";"734";"521";"651";"";"1"
"410207";"485";"349";"436";"";"1"
"410210";"964";"684";"855";"663";"1"
"460260";"1366";"983";"1229";"954";"1"
"410212";"734";"521";"651";"";"1"
"460350";"99";"84";"105";"";"1"
"410245";"485";"349";"436";"";"1"
"410213";"";"1172";"1465";"1137";"1"
"410246";"734";"521";"651";"";"1"
"410248";"964";"684";"855";"663";"1"
"410249";"1366";"983";"1229";"954";"1"
"410214";"";"1172";"1465";"1137";"1"
"410252";"";"1978";"2472";"1919";"1"
"410253";"286";"243";"304";"";"1"
"410254";"485";"349";"436";"";"1"
"410261";"286";"243";"304";"";"1"
"460349";"99";"84";"105";"";"1"
